# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000349 0.006300
30 3.050000 0.021819 0.421600
31 3.150000 0.412008 8.491800
32 3.250000 2.099629 46.066200
33 3.350000 4.563165 106.372400
34 3.450000 5.505040 136.104300
35 3.550000 4.600330 120.425600
36 3.650000 3.144822 87.027200
37 3.750000 2.053551 59.984800
38 3.850000 1.417233 43.635100
39 3.950000 1.081390 35.046900
40 4.050000 0.884172 30.124500
41 4.150000 0.760155 27.193900
42 4.250000 0.668867 25.095200
43 4.350000 0.581577 22.859100
44 4.450000 0.489042 20.115900
45 4.550000 0.411558 17.698100
46 4.650000 0.323456 14.527600
47 4.750000 0.259026 12.139600
48 4.850000 0.211732 10.345300
49 4.950000 0.181619 9.243700
50 5.050000 0.186949 9.903300
51 5.150000 0.222418 12.253400
52 5.250000 0.330412 18.916800
53 5.350000 0.553921 32.932800
54 5.450000 0.752485 46.426300
55 5.550000 0.760258 48.643000
56 5.650000 0.605980 40.181700
57 5.750000 0.493233 33.873600
58 5.850000 0.467019 33.198600
59 5.950000 0.494773 36.384200
60 6.050000 0.563685 42.856900
61 6.150000 0.672699 52.849900
62 6.250000 0.815108 66.137600
63 6.350000 0.959741 80.384900
64 6.450000 1.138515 98.385600
65 6.550000 1.315711 117.250900
66 6.650000 1.433217 131.652300
67 6.750000 1.379081 130.518000
68 6.850000 1.163184 113.371200
69 6.950000 0.882224 88.516000
70 7.050000 0.678316 70.029900
71 7.150000 0.601532 63.876900
72 7.250000 0.634714 69.299100
73 7.350000 0.749438 84.097600
74 7.450000 0.906848 104.549100
75 7.550000 1.085961 128.582300
76 7.650000 1.227570 149.225300
77 7.750000 1.268945 158.314000
78 7.850000 1.213296 155.302800
79 7.950000 1.113267 146.152700
80 8.050000 0.991848 133.508900
81 8.150000 0.884065 121.975500
82 8.250000 0.850639 120.261400
83 8.350000 0.902195 130.661200
84 8.450000 1.020218 151.314200
85 8.550000 1.114621 169.251600
86 8.650000 1.049560 163.122000
87 8.750000 0.866393 137.785700
88 8.850000 0.707115 115.040200
89 8.950000 0.650602 108.251700
90 9.050000 0.679120 115.535900
91 9.150000 0.791740 137.688500
92 9.250000 0.998987 177.548300
93 9.350000 1.256349 228.142800
94 9.450000 1.433484 265.906900
95 9.550000 1.441958 273.169700
96 9.650000 1.292997 250.106700
97 9.750000 1.104546 218.105200
98 9.850000 0.995279 200.581300
99 9.950000 0.999330 205.507700
100 10.050000 1.108614 232.587200
101 10.150000 1.210999 259.148800
102 10.250000 1.232283 268.925200
103 10.350000 1.169240 260.170100
104 10.450000 1.066022 241.808700
105 10.550000 0.966441 223.436200
106 10.650000 0.848499 199.905100
107 10.750000 0.743241 178.410300
108 10.850000 0.658499 161.022900
109 10.950000 0.624187 155.459100
110 11.050000 0.643806 163.287500
111 11.150000 0.722742 186.640700
112 11.250000 0.881546 231.751800
113 11.350000 1.114993 298.357500
114 11.450000 1.382026 376.357400
115 11.550000 1.563236 433.173300
116 11.650000 1.586850 447.363800
117 11.750000 1.461039 418.996900
118 11.850000 1.266208 369.330200
119 11.950000 1.061267 314.799300
120 12.050000 0.906051 273.274900
121 12.150000 0.806594 247.332200
122 12.250000 0.741968 231.275900
123 12.350000 0.727291 230.417400
124 12.450000 0.791438 254.817300
125 12.550000 0.971854 317.951900
126 12.650000 1.262647 419.697200
127 12.750000 1.580815 533.795100
