# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.001572 0.110450
29 2.950000 0.046801 3.522600
30 3.050000 0.321599 25.875150
31 3.150000 0.934103 80.164950
32 3.250000 1.735225 158.522650
33 3.350000 2.504636 243.110100
34 3.450000 2.431563 250.318300
35 3.550000 1.900529 207.157200
36 3.650000 1.312577 151.244450
37 3.750000 0.983138 119.576550
38 3.850000 0.936715 120.087500
39 3.950000 0.905697 122.221050
40 4.050000 0.801927 113.766300
41 4.150000 0.841049 125.281250
42 4.250000 0.948256 148.139900
43 4.350000 0.851709 139.392300
44 4.450000 0.783259 134.151050
45 4.550000 0.928134 166.188950
46 4.650000 1.069003 199.918750
47 4.750000 1.144760 223.393400
48 4.850000 1.317140 267.968700
49 4.950000 1.406224 298.011900
50 5.050000 1.300275 286.805000
51 5.150000 1.264253 290.012900
52 5.250000 1.621559 386.562950
53 5.350000 1.943925 481.233450
54 5.450000 1.606309 412.658500
55 5.550000 1.203606 320.655900
56 5.650000 0.971242 268.159350
57 5.750000 0.781026 223.341650
58 5.850000 0.638538 189.002300
59 5.950000 0.601481 184.172350
60 6.050000 0.688168 217.858350
61 6.150000 0.858065 280.698100
62 6.250000 0.918291 310.248050
63 6.350000 0.971318 338.748800
64 6.450000 1.265060 455.197100
65 6.550000 1.550616 575.381300
66 6.650000 1.577507 603.369700
67 6.750000 1.434725 565.385800
68 6.850000 1.250578 507.528650
69 6.950000 1.011036 422.381850
70 7.050000 0.805546 346.287950
71 7.150000 0.657959 290.923950
72 7.250000 0.589874 268.166250
73 7.350000 0.608305 284.226750
74 7.450000 0.749539 359.811750
75 7.550000 1.013196 499.523850
76 7.650000 1.297024 656.507600
77 7.750000 1.350614 701.622650
78 7.850000 1.165256 621.054200
79 7.950000 1.008116 551.078700
80 8.050000 0.961719 539.024900
81 8.150000 0.926530 532.284150
82 8.250000 0.913624 537.829050
83 8.350000 0.966300 582.711550
84 8.450000 1.068115 659.629550
85 8.550000 1.159320 733.000650
86 8.650000 1.197792 775.143850
87 8.750000 1.123977 744.289950
88 8.850000 1.013162 686.331800
89 8.950000 0.940924 651.882400
90 9.050000 0.870951 616.963450
91 9.150000 0.815389 590.440400
92 9.250000 0.807163 597.329050
93 9.350000 0.931408 704.258250
94 9.450000 0.991640 765.925450
95 9.550000 0.948450 748.152050
96 9.650000 0.969003 780.456500
97 9.750000 0.985722 810.461550
98 9.850000 0.997368 836.944900
99 9.950000 1.098474 940.599300
100 10.050000 1.187991 1037.801100
101 10.150000 1.269679 1131.344300
102 10.250000 1.268816 1152.962150
103 10.350000 1.102016 1021.027300
104 10.450000 0.888781 839.452200
105 10.550000 0.823755 792.997000
106 10.650000 0.953871 935.745700
107 10.750000 1.013675 1013.175200
108 10.850000 0.911266 927.840450
109 10.950000 0.890075 923.046800
110 11.050000 0.957249 1010.923700
111 11.150000 0.999217 1074.430750
112 11.250000 0.937250 1025.956800
113 11.350000 0.815182 908.270450
114 11.450000 0.735314 833.781750
115 11.550000 0.745186 859.799700
116 11.650000 0.854862 1003.498100
117 11.750000 1.004763 1199.797550
118 11.850000 1.095558 1330.579900
119 11.950000 1.131051 1396.969600
120 12.050000 1.161203 1458.313950
121 12.150000 1.146220 1463.488600
122 12.250000 1.093496 1419.247550
123 12.350000 1.008776 1330.752600
124 12.450000 0.960433 1287.580650
125 12.550000 1.013358 1380.444700
126 12.650000 1.101452 1524.457500
127 12.750000 1.079139 1517.283350
