# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.000175 0.008500
34 3.450000 0.007599 0.391150
35 3.550000 0.114386 6.234050
36 3.650000 0.692451 39.894550
37 3.750000 2.144319 130.403950
38 3.850000 3.550947 227.616900
39 3.950000 3.756566 253.468550
40 4.050000 3.041966 215.776050
41 4.150000 2.265764 168.752300
42 4.250000 1.602070 125.140550
43 4.350000 1.073140 87.816050
44 4.450000 0.763469 65.380800
45 4.550000 0.659173 59.014800
46 4.650000 0.664438 62.129700
47 4.750000 0.758206 73.979850
48 4.850000 1.082944 110.161100
49 4.950000 1.626606 172.358000
50 5.050000 1.822330 200.978000
51 5.150000 1.615500 185.293550
52 5.250000 1.439967 171.636600
53 5.350000 1.182501 146.368650
54 5.450000 0.838317 107.681250
55 5.550000 0.578259 77.027700
56 5.650000 0.456822 63.064150
57 5.750000 0.441767 63.163700
58 5.850000 0.460170 68.103400
59 5.950000 0.491476 75.244500
60 6.050000 0.610380 96.616250
61 6.150000 0.816467 133.545000
62 6.250000 1.069665 180.695250
63 6.350000 1.172364 204.432000
64 6.450000 1.028106 184.967800
65 6.550000 1.245058 230.999500
66 6.650000 1.717621 328.480450
67 6.750000 1.957758 385.749550
68 6.850000 1.850322 375.463150
69 6.950000 1.730757 361.530100
70 7.050000 1.605401 345.064650
71 7.150000 1.322233 292.320200
72 7.250000 0.970460 220.593300
73 7.350000 0.731903 170.988650
74 7.450000 0.616994 148.092250
75 7.550000 0.568143 140.052400
76 7.650000 0.557104 140.993150
77 7.750000 0.570690 148.232250
78 7.850000 0.640145 170.591150
79 7.950000 0.839692 229.505450
80 8.050000 1.080681 302.850350
81 8.150000 1.069712 307.270650
82 8.250000 0.884098 260.223800
83 8.350000 0.757288 228.335300
84 8.450000 0.762165 235.343000
85 8.550000 0.906605 286.608600
86 8.650000 1.011881 327.416450
87 8.750000 1.020543 337.898450
88 8.850000 1.050405 355.780650
89 8.950000 1.100645 381.269400
90 9.050000 1.311482 464.513300
91 9.150000 1.596628 578.075750
92 9.250000 1.592480 589.245500
93 9.350000 1.236466 467.459850
94 9.450000 0.845925 326.688900
95 9.550000 0.694625 273.965700
96 9.650000 0.758282 305.368400
97 9.750000 0.898466 369.359800
98 9.850000 1.014925 425.838900
99 9.950000 1.119828 479.442350
100 10.050000 1.150935 502.714700
101 10.150000 1.049535 467.592900
102 10.250000 1.033618 469.620000
103 10.350000 1.124809 521.072700
104 10.450000 1.043376 492.733550
105 10.550000 0.879256 423.213250
106 10.650000 0.826362 405.329600
107 10.750000 0.840380 419.982850
108 10.850000 0.738061 375.742900
109 10.950000 0.713957 370.202100
110 11.050000 0.814435 430.050700
111 11.150000 0.944346 507.714800
112 11.250000 1.010138 552.871750
113 11.350000 0.937730 522.406250
114 11.450000 0.853094 483.667050
115 11.550000 0.842933 486.290600
116 11.650000 0.933900 548.139200
117 11.750000 1.147940 685.383600
118 11.850000 1.377327 836.397450
119 11.950000 1.293092 798.553450
120 12.050000 1.073733 674.231550
121 12.150000 1.059761 676.548750
122 12.250000 1.101742 714.975100
123 12.350000 1.016202 670.274550
124 12.450000 0.836679 560.836450
125 12.550000 0.706508 481.219450
126 12.650000 0.736596 509.740400
127 12.750000 0.912511 641.500900
