# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.001048 0.110450
29 2.950000 0.031200 3.522600
30 3.050000 0.214399 25.875150
31 3.150000 0.622735 80.164950
32 3.250000 1.156817 158.522650
33 3.350000 1.669816 243.118600
34 3.450000 1.623575 250.709450
35 3.550000 1.305148 213.391250
36 3.650000 1.105869 191.139000
37 3.750000 1.370199 249.980500
38 3.850000 1.808126 347.704400
39 3.950000 1.855987 375.689600
40 4.050000 1.548607 329.542350
41 4.150000 1.315954 294.033550
42 4.250000 1.166194 273.280450
43 4.350000 0.925520 227.208350
44 4.450000 0.776662 199.531850
45 4.550000 0.838480 225.203750
46 4.650000 0.934148 262.048450
47 4.750000 1.015909 297.373250
48 4.850000 1.239074 378.129800
49 4.950000 1.479684 470.369900
50 5.050000 1.474293 487.783000
51 5.150000 1.381336 475.306450
52 5.250000 1.561028 558.199550
53 5.350000 1.690117 627.602100
54 5.450000 1.350311 520.339750
55 5.550000 0.995157 397.683600
56 5.650000 0.799768 331.223500
57 5.750000 0.667939 286.505350
58 5.850000 0.579082 257.105700
59 5.950000 0.564812 259.416850
60 6.050000 0.662239 314.474600
61 6.150000 0.844199 414.243100
62 6.250000 0.968749 490.943300
63 6.350000 1.038334 543.180800
64 6.450000 1.186076 640.164900
65 6.550000 1.448764 806.380800
66 6.650000 1.624212 931.850150
67 6.750000 1.609069 951.135350
68 6.850000 1.450492 882.991800
69 6.950000 1.250943 783.911950
70 7.050000 1.072164 691.352600
71 7.150000 0.879383 583.244150
72 7.250000 0.716736 488.759550
73 7.350000 0.649505 455.215400
74 7.450000 0.705357 507.904000
75 7.550000 0.864845 639.576250
76 7.650000 1.050384 797.500750
77 7.750000 1.090640 849.854900
78 7.850000 0.990219 791.645350
79 7.950000 0.951975 780.584150
80 8.050000 1.001373 841.875250
81 8.150000 0.974258 839.554800
82 8.250000 0.903782 798.052850
83 8.350000 0.896629 811.046850
84 8.450000 0.966131 894.972550
85 8.550000 1.075082 1019.609250
86 8.650000 1.135821 1102.560300
87 8.750000 1.089499 1082.188400
88 8.850000 1.025576 1042.112450
89 8.950000 0.994164 1033.151800
90 9.050000 1.017794 1081.476750
91 9.150000 1.075802 1168.516150
92 9.250000 1.068935 1186.574550
93 9.350000 1.033094 1171.718100
94 9.450000 0.943068 1092.614350
95 9.550000 0.863842 1022.117750
96 9.650000 0.898763 1085.824900
97 9.750000 0.956637 1179.821350
98 9.850000 1.003221 1262.783800
99 9.950000 1.105592 1420.041650
100 10.050000 1.175639 1540.515800
101 10.150000 1.196298 1598.937200
102 10.250000 1.190416 1622.582150
103 10.350000 1.109614 1542.100000
104 10.450000 0.940312 1332.185750
105 10.550000 0.842255 1216.210250
106 10.650000 0.911368 1341.075300
107 10.750000 0.955910 1433.158050
108 10.850000 0.853531 1303.583350
109 10.950000 0.831369 1293.248900
110 11.050000 0.909644 1440.974400
111 11.150000 0.980927 1582.145550
112 11.250000 0.961546 1578.828550
113 11.350000 0.856031 1430.676700
114 11.450000 0.774574 1317.448800
115 11.550000 0.777768 1346.090300
116 11.650000 0.881208 1551.637300
117 11.750000 1.052488 1885.181150
118 11.850000 1.189481 2166.977350
119 11.950000 1.185065 2195.523050
120 12.050000 1.132046 2132.545500
121 12.150000 1.117400 2140.037350
122 12.250000 1.096245 2134.222650
123 12.350000 1.011251 2001.027150
124 12.450000 0.919181 1848.417100
125 12.550000 0.911074 1861.664150
126 12.650000 0.979833 2034.197900
127 12.750000 1.023597 2158.784250
