 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9968416    
   3.625000      0.9923763    
   3.875000      0.9851884    
   4.125000      0.9806142    
   4.375000      0.9708124    
   4.625000      0.9606839    
   4.875000      0.9481594    
   5.125000      0.9368329    
   5.375000      0.9244173    
   5.625000      0.9117839    
   5.875000      0.8986059    
   6.125000      0.8813984    
   6.375000      0.8689828    
   6.625000      0.7729253    
   6.875000      0.7634502    
   7.125000      0.7513613    
   7.375000      0.7373121    
   7.625000      0.7229362    
   7.875000      0.7044217    
   8.125000      0.6027009    
   8.375000      0.5781965    
   8.625000      0.5380091    
   8.875000      0.5108908    
   9.125000      0.4892180    
   9.375000      0.4774559    
   9.625000      0.4625354    
   9.875000      0.4531692    
   10.12500      0.2199956    
   10.37500      0.2171640    
   10.62500      0.2138968    
   10.87500      0.2098671    
   11.12500      0.2071444    
   11.37500      0.2057286    
   11.62500      0.2032237    
   11.87500      0.2015901    
   12.12500      0.1997386    
   12.37500      0.1984317    
   12.62500      0.1962535    
   12.87500      0.1941843    
   13.12500      0.1911348    
   13.37500      0.1898279    
   13.62500      0.1879765    
   13.87500      0.1861250    
   14.12500      0.1848181    
   14.37500      0.1827489    
   14.62500      0.1819865    
   14.87500      0.1807885    
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
