# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000017 0.000330
30 3.050000 0.006108 0.123320
31 3.150000 0.190482 4.102440
32 3.250000 1.371492 31.443190
33 3.350000 3.874065 94.367630
34 3.450000 6.089773 157.327910
35 3.550000 6.703273 183.362320
36 3.650000 5.913750 171.007500
37 3.750000 4.587186 140.015250
38 3.850000 3.303878 106.294790
39 3.950000 2.316835 78.461340
40 4.050000 1.637033 58.281950
41 4.150000 1.184930 44.295070
42 4.250000 0.884430 34.674300
43 4.350000 0.691379 28.396250
44 4.450000 0.560719 24.100800
45 4.550000 0.483477 21.725270
46 4.650000 0.437288 20.522980
47 4.750000 0.415520 20.349110
48 4.850000 0.411676 21.018670
49 4.950000 0.416344 22.142630
50 5.050000 0.427831 23.682170
51 5.150000 0.434449 25.010370
52 5.250000 0.443029 26.504340
53 5.350000 0.454913 28.261940
54 5.450000 0.476627 30.728250
55 5.550000 0.517887 34.624830
56 5.650000 0.591066 40.954280
57 5.750000 0.695324 49.898690
58 5.850000 0.814403 60.494700
59 5.950000 0.920039 70.697950
60 6.050000 0.984136 78.186640
61 6.150000 1.007787 82.734250
62 6.250000 1.009388 85.582420
63 6.350000 1.002007 87.696990
64 6.450000 0.993800 89.739720
65 6.550000 1.001234 93.236180
66 6.650000 1.032820 99.136710
67 6.750000 1.091201 107.914280
68 6.850000 1.161975 118.343540
69 6.950000 1.214304 127.310320
70 7.050000 1.242721 134.065870
71 7.150000 1.225948 136.034940
72 7.250000 1.163661 132.760540
73 7.350000 1.058412 124.106900
74 7.450000 0.936161 112.779310
75 7.550000 0.816296 100.996920
76 7.650000 0.714043 90.701400
77 7.750000 0.636814 83.019910
78 7.850000 0.583515 78.047290
79 7.950000 0.550774 75.556890
80 8.050000 0.536131 75.410020
81 8.150000 0.531653 76.649640
82 8.250000 0.532396 78.651930
83 8.350000 0.533114 80.678780
84 8.450000 0.531961 82.444150
85 8.550000 0.531893 84.396200
86 8.650000 0.535974 87.044710
87 8.750000 0.549245 91.274270
88 8.850000 0.571964 97.234880
89 8.950000 0.601220 104.531200
90 9.050000 0.629863 111.972080
91 9.150000 0.655948 119.200500
92 9.250000 0.682952 126.835220
93 9.350000 0.715636 135.794380
94 9.450000 0.757263 146.783410
95 9.550000 0.808502 160.049500
96 9.650000 0.863406 174.516370
97 9.750000 0.926292 191.127670
98 9.850000 0.980789 206.544830
99 9.950000 1.019697 219.120880
100 10.050000 1.038620 227.695920
101 10.150000 1.043545 233.351080
102 10.250000 1.048974 239.209870
103 10.350000 1.055231 245.354880
104 10.450000 1.051710 249.284300
105 10.550000 1.035668 250.202600
106 10.650000 1.004458 247.284820
107 10.750000 0.963708 241.728950
108 10.850000 0.926632 236.773700
109 10.950000 0.897664 233.619080
110 11.050000 0.874077 231.654560
111 11.150000 0.855578 230.874310
112 11.250000 0.840388 230.861510
113 11.350000 0.829071 231.819470
114 11.450000 0.823430 234.317150
115 11.550000 0.832405 241.026710
116 11.650000 0.852734 251.206960
117 11.750000 0.883545 264.771400
118 11.850000 0.921462 280.853890
119 11.950000 0.961811 298.120510
120 12.050000 0.997883 314.499820
121 12.150000 1.029302 329.808470
122 12.250000 1.053181 343.037620
123 12.350000 1.066100 352.938090
124 12.450000 1.075718 361.912440
125 12.550000 1.085720 371.169030
126 12.650000 1.101484 382.582930
127 12.750000 1.128326 398.126830
