# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000001 0.000065
28 2.850000 0.000446 0.027495
29 2.950000 0.017633 1.165775
30 3.050000 0.161867 11.439085
31 3.150000 0.549099 41.391000
32 3.250000 0.997449 80.037200
33 3.350000 1.271892 108.436255
34 3.450000 1.365343 123.456680
35 3.550000 1.391793 133.249620
36 3.650000 1.354240 137.061650
37 3.750000 1.208488 129.103935
38 3.850000 1.003053 112.948360
39 3.950000 0.827769 98.115580
40 4.050000 0.720462 89.775105
41 4.150000 0.675225 88.344395
42 4.250000 0.679439 93.231545
43 4.350000 0.710121 102.081150
44 4.450000 0.740389 111.381915
45 4.550000 0.748057 117.650030
46 4.650000 0.737716 121.179565
47 4.750000 0.720084 123.425575
48 4.850000 0.701886 125.425165
49 4.950000 0.683222 127.176430
50 5.050000 0.701774 135.961105
51 5.150000 0.819722 165.164015
52 5.250000 1.070203 224.088435
53 5.350000 1.297438 282.116650
54 5.450000 1.343753 303.212520
55 5.550000 1.238638 289.844415
56 5.650000 1.102958 267.479495
57 5.750000 1.004777 252.371355
58 5.850000 0.955996 248.543505
59 5.950000 0.933201 250.982525
60 6.050000 0.933996 259.711095
61 6.150000 0.966204 277.621740
62 6.250000 1.020954 302.970730
63 6.350000 1.067791 327.090860
64 6.450000 1.091726 345.038400
65 6.550000 1.105216 360.216930
66 6.650000 1.124494 377.776555
67 6.750000 1.152933 399.067150
68 6.850000 1.194696 425.866180
69 6.950000 1.228058 450.632875
70 7.050000 1.223369 461.923840
71 7.150000 1.157242 449.439125
72 7.250000 1.074684 429.132615
73 7.350000 1.040202 426.900740
74 7.450000 1.073983 452.839820
75 7.550000 1.123893 486.690920
76 7.650000 1.151120 511.773545
77 7.750000 1.181406 539.060090
78 7.850000 1.227808 574.783690
79 7.950000 1.247926 599.180365
80 8.050000 1.217781 599.508525
81 8.150000 1.163790 587.251790
82 8.250000 1.136616 587.700510
83 8.350000 1.128198 597.575605
84 8.450000 1.116190 605.460615
85 8.550000 1.109041 615.906020
86 8.650000 1.111221 631.636210
87 8.750000 1.122360 652.803840
88 8.850000 1.144665 681.082050
89 8.950000 1.168796 711.245000
90 9.050000 1.165513 725.184900
91 9.150000 1.128842 717.976020
92 9.250000 1.090215 708.647125
93 9.350000 1.073311 712.825580
94 9.450000 1.060866 719.711855
95 9.550000 1.045480 724.364470
96 9.650000 1.039846 735.627575
97 9.750000 1.037405 749.190055
98 9.850000 1.037333 764.583970
99 9.950000 1.053569 792.398675
100 10.050000 1.073061 823.362585
101 10.150000 1.077708 843.465990
102 10.250000 1.081948 863.551930
103 10.350000 1.098437 893.902660
104 10.450000 1.119829 929.006465
105 10.550000 1.128629 954.312505
106 10.650000 1.109951 956.395705
107 10.750000 1.083598 951.304565
108 10.850000 1.069970 956.898195
109 10.950000 1.061819 967.192915
110 11.050000 1.053014 976.772155
111 11.150000 1.044126 986.137205
112 11.250000 1.027935 988.337225
113 11.350000 1.002365 980.961785
114 11.450000 0.977459 973.518035
115 11.550000 0.964260 977.221165
116 11.650000 0.959190 988.988090
117 11.750000 0.948307 994.624705
118 11.850000 0.933454 995.781325
119 11.950000 0.935347 1014.713085
120 12.050000 0.949815 1047.725510
121 12.150000 0.972563 1090.698630
122 12.250000 0.992575 1131.539835
123 12.350000 1.002501 1161.591435
124 12.450000 0.993518 1169.901175
125 12.550000 0.972368 1163.462630
126 12.650000 0.946042 1150.074925
127 12.750000 0.919823 1135.949630
