# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.000192 0.008205
34 3.450000 0.011530 0.521295
35 3.550000 0.141088 6.753870
36 3.650000 0.617732 31.260110
37 3.750000 1.332902 71.197590
38 3.850000 1.784347 100.462805
39 3.950000 1.824112 108.106125
40 4.050000 1.706339 106.311410
41 4.150000 1.583774 103.608165
42 4.250000 1.451419 99.580690
43 4.350000 1.324707 95.214460
44 4.450000 1.208111 90.872260
45 4.550000 1.105652 86.945235
46 4.650000 1.001280 82.236730
47 4.750000 0.897683 76.933410
48 4.850000 0.797009 71.211665
49 4.950000 0.699896 65.140075
50 5.050000 0.615621 59.634955
51 5.150000 0.562567 56.675200
52 5.250000 0.548070 57.379800
53 5.350000 0.577568 62.793545
54 5.450000 0.640067 72.214210
55 5.550000 0.717206 83.913990
56 5.650000 0.786054 95.313340
57 5.750000 0.827095 103.871280
58 5.850000 0.835926 108.663570
59 5.950000 0.815197 109.622850
60 6.050000 0.792480 110.180240
61 6.150000 0.808252 116.118580
62 6.250000 0.897181 133.120345
63 6.350000 1.048695 160.620540
64 6.450000 1.242716 196.379385
65 6.550000 1.435309 233.901240
66 6.650000 1.534111 257.694215
67 6.750000 1.519874 263.038715
68 6.850000 1.458355 259.925535
69 6.950000 1.418028 260.171120
70 7.050000 1.414068 266.964160
71 7.150000 1.423167 276.358290
72 7.250000 1.427106 284.929070
73 7.350000 1.407260 288.771055
74 7.450000 1.316460 277.539465
75 7.550000 1.162829 251.775950
76 7.650000 1.025461 227.953545
77 7.750000 0.946741 215.992790
78 7.850000 0.918182 214.917820
79 7.950000 0.927416 222.645285
80 8.050000 0.963803 237.238160
81 8.150000 1.017156 256.629835
82 8.250000 1.059314 273.865495
83 8.350000 1.099218 291.112740
84 8.450000 1.161297 314.964335
85 8.550000 1.210639 336.164070
86 8.650000 1.197421 340.317120
87 8.750000 1.156155 336.230095
88 8.850000 1.151517 342.579420
89 8.950000 1.181750 359.563920
90 9.050000 1.197846 372.651415
91 9.150000 1.176616 374.180885
92 9.250000 1.136122 369.243560
93 9.350000 1.120573 372.107135
94 9.450000 1.136504 385.513150
95 9.550000 1.140393 395.062345
96 9.650000 1.108332 392.038820
97 9.750000 1.071542 386.921460
98 9.850000 1.067722 393.491460
99 9.950000 1.092205 410.728390
100 10.050000 1.106676 424.577710
101 10.150000 1.085332 424.716770
102 10.250000 1.042939 416.208770
103 10.350000 1.006221 409.429135
104 10.450000 0.973017 403.605810
105 10.550000 0.959562 405.679100
106 10.650000 0.986705 425.099960
107 10.750000 1.034804 454.233770
108 10.850000 1.059412 473.727765
109 10.950000 1.065292 485.178460
110 11.050000 1.079590 500.712140
111 11.150000 1.084773 512.263350
112 11.250000 1.086955 522.541765
113 11.350000 1.122905 549.464225
114 11.450000 1.170650 582.965055
115 11.550000 1.160532 588.065275
116 11.650000 1.092836 563.393030
117 11.750000 1.022656 536.302460
118 11.850000 0.972588 518.764485
119 11.950000 0.939107 509.395680
120 12.050000 0.919003 506.868615
121 12.150000 0.921220 516.559610
122 12.250000 0.932357 531.445615
123 12.350000 0.927594 537.398275
124 12.450000 0.905525 533.142735
125 12.550000 0.873434 522.542980
126 12.650000 0.845118 513.692260
127 12.750000 0.821581 507.311965
