 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9965360    
   3.625000      0.9856665    
   3.875000      0.9751552    
   4.125000      0.9616579    
   4.375000      0.9499522    
   4.625000      0.9345437    
   4.875000      0.9191352    
   5.125000      0.8705207    
   5.375000      0.8425704    
   5.625000      0.8251314    
   5.875000      0.7892976    
   6.125000      0.7486861    
   6.375000      0.6542044    
   6.625000      0.6390349    
   6.875000      0.6241041    
   7.125000      0.5943621    
   7.375000      0.5666507    
   7.625000      0.5430005    
   7.875000      0.5249642    
   8.125000      0.4122073    
   8.375000      0.2175107    
   8.625000      0.2091495    
   8.875000      0.2011467    
   9.125000      0.1954133    
   9.375000      0.1886049    
   9.625000      0.1832298    
   9.875000      0.1783325    
   10.12500      0.1730769    
   10.37500      0.1687769    
   10.62500      4.3717150E-02
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
