 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9997610    
   3.375000      0.9964170    
   3.625000      0.9873402    
   3.875000      0.9764719    
   4.125000      0.9621401    
   4.375000      0.9479278    
   4.625000      0.9338349    
   4.875000      0.9190254    
   5.125000      0.8654006    
   5.375000      0.8379314    
   5.625000      0.8220470    
   5.875000      0.7858592    
   6.125000      0.7524185    
   6.375000      0.6663083    
   6.625000      0.6481547    
   6.875000      0.6326286    
   7.125000      0.6064731    
   7.375000      0.5758987    
   7.625000      0.5533261    
   7.875000      0.5323062    
   8.125000      0.4146661    
   8.375000      0.2210677    
   8.625000      0.2110355    
   8.875000      0.2005255    
   9.125000      0.1928819    
   9.375000      0.1861937    
   9.625000      0.1816553    
   9.875000      0.1760420    
   10.12500      0.1726979    
   10.37500      0.1683984    
   10.62500      3.7979215E-02
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
