 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9989870    
   3.625000      0.9956946    
   3.875000      0.9916425    
   4.125000      0.9878435    
   4.375000      0.9848044    
   4.625000      0.9829050    
   4.875000      0.9797392    
   5.125000      0.9763202    
   5.375000      0.9734077    
   5.625000      0.9701153    
   5.875000      0.9672028    
   6.125000      0.9601115    
   6.375000      0.9512474    
   6.625000      0.9379511    
   6.875000      0.9037610    
   7.125000      0.8747626    
   7.375000      0.8512093    
   7.625000      0.7054578    
   7.875000      0.6960872    
   8.125000      0.6848171    
   8.375000      0.6726605    
   8.625000      0.6631632    
   8.875000      0.6523997    
   9.125000      0.6417627    
   9.375000      0.6312524    
   9.625000      0.6207421    
   9.875000      0.6106117    
   10.12500      0.6001014    
   10.37500      0.5932633    
   10.62500      0.5536280    
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
