 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9971021    
   3.625000      0.9949603    
   3.875000      0.9921885    
   4.125000      0.9894166    
   4.375000      0.9857628    
   4.625000      0.9836210    
   4.875000      0.9809752    
   5.125000      0.9790853    
   5.375000      0.9768174    
   5.625000      0.9746755    
   5.875000      0.9730377    
   6.125000      0.9702658    
   6.375000      0.9667380    
   6.625000      0.9618244    
   6.875000      0.9526269    
   7.125000      0.9450674    
   7.375000      0.9371299    
   7.625000      0.9273025    
   7.875000      0.9183570    
   8.125000      0.9089076    
   8.375000      0.8954265    
   8.625000      0.8859770    
   8.875000      0.8708580    
   9.125000      0.8561169    
   9.375000      0.8436437    
   9.625000      0.8272647    
   9.875000      0.8073579    
   10.12500      0.7928688    
   10.37500      0.7790097    
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
