 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9979424    
   3.625000      0.9923411    
   3.875000      0.9858253    
   4.125000      0.9804527    
   4.375000      0.9741655    
   4.625000      0.9657065    
   4.875000      0.9557613    
   5.125000      0.8899177    
   5.375000      0.8655693    
   5.625000      0.8632830    
   5.875000      0.8615683    
   6.125000      0.8589392    
   6.375000      0.8560814    
   6.625000      0.8520805    
   6.875000      0.8437357    
   7.125000      0.8356196    
   7.375000      0.8293324    
   7.625000      0.8215592    
   7.875000      0.8143576    
   8.125000      0.8063557    
   8.375000      0.7957247    
   8.625000      0.7885231    
   8.875000      0.7765204    
   9.125000      0.7642890    
   9.375000      0.7544582    
   9.625000      0.7406265    
   9.875000      0.7248514    
   10.12500      0.7104481    
   10.37500      0.6975309    
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
