 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9988596    
   3.625000      0.9956665    
   3.875000      0.9923594    
   4.125000      0.9896225    
   4.375000      0.9864295    
   4.625000      0.9827802    
   4.875000      0.9798152    
   5.125000      0.9768502    
   5.375000      0.9736572    
   5.625000      0.9695518    
   5.875000      0.9628236    
   6.125000      0.9570076    
   6.375000      0.9515338    
   6.625000      0.9380773    
   6.875000      0.9274718    
   7.125000      0.9185768    
   7.375000      0.9063747    
   7.625000      0.8881286    
   7.875000      0.8718212    
   8.125000      0.8591629    
   8.375000      0.8429695    
   8.625000      0.8271182    
   8.875000      0.8046528    
   9.125000      0.4482837    
   9.375000      0.4381343    
   9.625000      0.4174934    
   9.875000      0.3627551    
   10.12500      0.2897708    
   10.37500      0.0000000E+00
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
