 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9975745    
   3.625000      0.9919515    
   3.875000      0.9861081    
   4.125000      0.9796032    
   4.375000      0.9745315    
   4.625000      0.9689085    
   4.875000      0.9621831    
   5.125000      0.9544653    
   5.375000      0.9496142    
   5.625000      0.9009923    
   5.875000      0.8719956    
   6.125000      0.8486219    
   6.375000      0.8329659    
   6.625000      0.8186329    
   6.875000      0.8101434    
   7.125000      0.8019846    
   7.375000      0.7939361    
   7.625000      0.7859979    
   7.875000      0.7797134    
   8.125000      0.7739802    
   8.375000      0.7681367    
   8.625000      0.7619625    
   8.875000      0.7566704    
   9.125000      0.7509372    
   9.375000      0.7470783    
   9.625000      0.7437707    
   9.875000      0.7403529    
   10.12500      0.7363837    
   10.37500      0.7310916    
   10.62500      0.7276737    
   10.87500      0.7240353    
   11.12500      0.7211688    
   11.37500      0.7170894    
   11.62500      0.7133407    
   11.87500      0.7101434    
   12.12500      0.7061743    
   12.37500      0.6262404    
   12.62500      0.6171996    
   12.87500      0.6080486    
   13.12500      0.5995590    
   13.37500      0.5875414    
   13.62500      0.5561191    
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
