 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9978998    
   3.625000      0.9923731    
   3.875000      0.9870675    
   4.125000      0.9818724    
   4.375000      0.9761246    
   4.625000      0.9705979    
   4.875000      0.9639659    
   5.125000      0.9577760    
   5.375000      0.9534652    
   5.625000      0.9043881    
   5.875000      0.8743230    
   6.125000      0.8546479    
   6.375000      0.8393942    
   6.625000      0.8261302    
   6.875000      0.8144136    
   7.125000      0.8061236    
   7.375000      0.7976124    
   7.625000      0.7912015    
   7.875000      0.7839062    
   8.125000      0.7773848    
   8.375000      0.7727423    
   8.625000      0.7678788    
   8.875000      0.7625732    
   9.125000      0.7566044    
   9.375000      0.7524041    
   9.625000      0.7488670    
   9.875000      0.7452194    
   10.12500      0.7409086    
   10.37500      0.7361556    
   10.62500      0.7329501    
   10.87500      0.7293025    
   11.12500      0.7244390    
   11.37500      0.7201282    
   11.62500      0.7175859    
   11.87500      0.7141594    
   12.12500      0.7101802    
   12.37500      0.6344644    
   12.62500      0.6247374    
   12.87500      0.6164474    
   13.12500      0.6072731    
   13.37500      0.5937880    
   13.62500      0.5609594    
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
