 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9992487    
   3.625000      0.9972097    
   3.875000      0.9958146    
   4.125000      0.9928096    
   4.375000      0.9906632    
   4.625000      0.9885169    
   4.875000      0.9867997    
   5.125000      0.9851900    
   5.375000      0.9832582    
   5.625000      0.9811118    
   5.875000      0.9793947    
   6.125000      0.9767118    
   6.375000      0.9740288    
   6.625000      0.9696287    
   6.875000      0.9665164    
   7.125000      0.9640481    
   7.375000      0.9617944    
   7.625000      0.9592187    
   7.875000      0.9551406    
   8.125000      0.9522430    
   8.375000      0.9477355    
   8.625000      0.9437647    
   8.875000      0.9387208    
   9.125000      0.9307792    
   9.375000      0.9011590    
   9.625000      0.7274093    
   9.875000      0.6941404    
   10.12500      0.6658081    
   10.37500      0.3609143    
   10.62500      0.3186306    
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
