 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9994633    
   3.625000      0.9976384    
   3.875000      0.9955989    
   4.125000      0.9934521    
   4.375000      0.9916273    
   4.625000      0.9896951    
   4.875000      0.9877629    
   5.125000      0.9863675    
   5.375000      0.9842207    
   5.625000      0.9815371    
   5.875000      0.9797123    
   6.125000      0.9757406    
   6.375000      0.9735938    
   6.625000      0.9700515    
   6.875000      0.9677973    
   7.125000      0.9642550    
   7.375000      0.9609274    
   7.625000      0.9568484    
   7.875000      0.9531987    
   8.125000      0.9498711    
   8.375000      0.9445040    
   8.625000      0.9401030    
   8.875000      0.9360240    
   9.125000      0.9288321    
   9.375000      0.9003864    
   9.625000      0.7197295    
   9.875000      0.6873121    
   10.12500      0.6590811    
   10.37500      0.3498282    
   10.62500      0.3096823    
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
