 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9981864    
   3.625000      0.9933122    
   3.875000      0.9874179    
   4.125000      0.9806167    
   4.375000      0.9733621    
   4.625000      0.9614601    
   4.875000      0.8832465    
   5.125000      0.8626162    
   5.375000      0.8445931    
   5.625000      0.8315575    
   5.875000      0.8202222    
   6.125000      0.8113807    
   6.375000      0.8012922    
   6.625000      0.7952846    
   6.875000      0.7890502    
   7.125000      0.7832692    
   7.375000      0.7793018    
   7.625000      0.7743143    
   7.875000      0.7700068    
   8.125000      0.7654727    
   8.375000      0.7616187    
   8.625000      0.7574247    
   8.875000      0.7536840    
   9.125000      0.7510769    
   9.375000      0.7467695    
   9.625000      0.7438223    
   9.875000      0.7401950    
   10.12500      0.7374746    
   10.37500      0.7341873    
   10.62500      0.7311268    
   10.87500      0.7274995    
   11.12500      0.7256858    
   11.37500      0.7226253    
   11.62500      0.7202449    
   11.87500      0.7172977    
   12.12500      0.6423714    
   12.37500      0.6082521    
   12.62500      0.5962367    
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
