 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9990882    
   3.625000      0.9946432    
   3.875000      0.9897423    
   4.125000      0.9835878    
   4.375000      0.9767494    
   4.625000      0.9635286    
   4.875000      0.8838614    
   5.125000      0.8666514    
   5.375000      0.8462502    
   5.625000      0.8322315    
   5.875000      0.8199224    
   6.125000      0.8104627    
   6.375000      0.8031684    
   6.625000      0.7976977    
   6.875000      0.7914292    
   7.125000      0.7855026    
   7.375000      0.7808297    
   7.625000      0.7770686    
   7.875000      0.7738773    
   8.125000      0.7694324    
   8.375000      0.7661272    
   8.625000      0.7631639    
   8.875000      0.7592888    
   9.125000      0.7550718    
   9.375000      0.7514246    
   9.625000      0.7470936    
   9.875000      0.7441303    
   10.12500      0.7408251    
   10.37500      0.7377478    
   10.62500      0.7350125    
   10.87500      0.7318212    
   11.12500      0.7291999    
   11.37500      0.7264645    
   11.62500      0.7228174    
   11.87500      0.7208799    
   12.12500      0.6446318    
   12.37500      0.6061089    
   12.62500      0.5957374    
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
