 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9886279    
   3.625000      0.9608848    
   3.875000      0.9260185    
   4.125000      0.8922769    
   4.375000      0.8654087    
   4.625000      0.8414147    
   4.875000      0.8152962    
   5.125000      0.7858036    
   5.375000      0.7590603    
   5.625000      0.7348163    
   5.875000      0.7151963    
   6.125000      0.4560110    
   6.375000      0.4522620    
   6.625000      0.4490128    
   6.875000      0.4457636    
   7.125000      0.4432642    
   7.375000      0.4402649    
   7.625000      0.4371407    
   7.875000      0.4352662    
   8.125000      0.4337666    
   8.375000      0.4308923    
   8.625000      0.4297676    
   8.875000      0.4275181    
   9.125000      0.4253937    
   9.375000      0.4205199    
   9.625000      0.4121470    
   9.875000      0.4046488    
   10.12500      0.0000000E+00
   10.37500      0.0000000E+00
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
