 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9993496    
   3.625000      0.9953173    
   3.875000      0.9894640    
   4.125000      0.9833506    
   4.375000      0.9765868    
   4.625000      0.9712538    
   4.875000      0.9646201    
   5.125000      0.9579864    
   5.375000      0.9512226    
   5.625000      0.9436784    
   5.875000      0.9358740    
   6.125000      0.9285899    
   6.375000      0.9202653    
   6.625000      0.9157127    
   6.875000      0.9099895    
   7.125000      0.9011446    
   7.375000      0.8971123    
   7.625000      0.8917794    
   7.875000      0.8856659    
   8.125000      0.8829344    
   8.375000      0.8785119    
   8.625000      0.8760405    
   8.875000      0.8716180    
   9.125000      0.8694068    
   9.375000      0.8651144    
   9.625000      0.8629032    
   9.875000      0.8592612    
   10.12500      0.8574401    
   10.37500      0.8443028    
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
