 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9981889    
   3.625000      0.9926421    
   3.875000      0.9865294    
   4.125000      0.9792846    
   4.375000      0.9722663    
   4.625000      0.9661535    
   4.875000      0.9584560    
   5.125000      0.9515508    
   5.375000      0.9440797    
   5.625000      0.8199004    
   5.875000      0.8161649    
   6.125000      0.8110709    
   6.375000      0.8055241    
   6.625000      0.8014489    
   6.875000      0.7980530    
   7.125000      0.7903554    
   7.375000      0.7884311    
   7.625000      0.7831107    
   7.875000      0.7791488    
   8.125000      0.7771112    
   8.375000      0.7723568    
   8.625000      0.7706589    
   8.875000      0.7671497    
   9.125000      0.7643197    
   9.375000      0.7606973    
   9.625000      0.7585465    
   9.875000      0.7544714    
   10.12500      0.7524338    
   10.37500      0.7412271    
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
