 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9744955    
   3.625000      0.8986010    
   3.875000      0.6907268    
   4.125000      0.6152037    
   4.375000      0.4902811    
   4.625000      0.4088152    
   4.875000      0.2387025    
   5.125000      0.2284264    
   5.375000      0.2130742    
   5.625000      0.1900458    
   5.875000      0.1552557    
   6.125000      3.0209238E-02
   6.375000      2.9961621E-02
   6.625000      2.9218771E-02
   6.875000      2.8971154E-02
   7.125000      2.8723538E-02
   7.375000      2.8599728E-02
   7.625000      2.8475920E-02
   7.875000      2.8228303E-02
   8.125000      2.7980687E-02
   8.375000      2.7609263E-02
   8.625000      2.7609263E-02
   8.875000      2.7485454E-02
   9.125000      2.7237836E-02
   9.375000      2.6866412E-02
   9.625000      2.6742604E-02
   9.875000      0.0000000E+00
   10.12500      0.0000000E+00
   10.37500      0.0000000E+00
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
