# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000337 0.002600
30 3.050000 0.048280 0.398400
31 3.150000 0.934857 8.228500
32 3.250000 3.652460 34.222100
33 3.350000 5.395002 53.707600
34 3.450000 5.152161 54.397900
35 3.550000 4.354538 48.680300
36 3.650000 3.618935 42.768200
37 3.750000 2.837821 35.399900
38 3.850000 2.217129 29.151900
39 3.950000 1.714025 23.722800
40 4.050000 1.353975 19.700400
41 4.150000 1.079349 16.489700
42 4.250000 0.886356 14.201700
43 4.350000 0.743221 12.475300
44 4.450000 0.600578 10.549800
45 4.550000 0.474684 8.717300
46 4.650000 0.365079 7.002400
47 4.750000 0.312376 6.252000
48 4.850000 0.338652 7.066300
49 4.950000 0.438366 9.528000
50 5.050000 0.587530 13.291300
51 5.150000 0.755481 17.774300
52 5.250000 0.839668 20.529600
53 5.350000 0.857626 21.775100
54 5.450000 0.800061 21.080000
55 5.550000 0.723480 19.768200
56 5.650000 0.662564 18.762000
57 5.750000 0.628296 18.427000
58 5.850000 0.586362 17.800500
59 5.950000 0.543315 17.062400
60 6.050000 0.516439 16.768100
61 6.150000 0.477292 16.013600
62 6.250000 0.494010 17.117900
63 6.350000 0.554101 19.819400
64 6.450000 0.666911 24.611700
65 6.550000 0.791611 30.126500
66 6.650000 0.896331 35.161400
67 6.750000 0.981228 39.658100
68 6.850000 0.967638 40.276200
69 6.950000 0.890314 38.147600
70 7.050000 0.801284 35.328000
71 7.150000 0.759434 34.439500
72 7.250000 0.785849 36.641200
73 7.350000 0.878927 42.119400
74 7.450000 0.987413 48.614500
75 7.550000 1.091269 55.179800
76 7.650000 1.183810 61.455300
77 7.750000 1.221852 65.099300
78 7.850000 1.186169 64.839600
79 7.950000 1.112789 62.388100
80 8.050000 0.975143 56.055000
81 8.150000 0.812647 47.881900
82 8.250000 0.675515 40.784700
83 8.350000 0.571030 35.317200
84 8.450000 0.506313 32.069100
85 8.550000 0.525481 34.075600
86 8.650000 0.600329 39.845200
87 8.750000 0.640471 43.498100
88 8.850000 0.590846 41.050200
89 8.950000 0.534975 38.013200
90 9.050000 0.484522 35.201800
91 9.150000 0.431592 32.053100
92 9.250000 0.404125 30.672800
93 9.350000 0.429033 33.271200
94 9.450000 0.507813 40.227400
95 9.550000 0.629826 50.954400
96 9.650000 0.726980 60.052600
97 9.750000 0.826938 69.732700
98 9.850000 0.919724 79.156100
99 9.950000 0.984381 86.449800
100 10.050000 0.987762 88.499100
101 10.150000 1.004535 91.801900
102 10.250000 1.055803 98.397700
103 10.350000 1.131606 107.530200
104 10.450000 1.172765 113.605200
105 10.550000 1.158075 114.339400
106 10.650000 1.143166 115.017300
107 10.750000 1.167964 119.729400
108 10.850000 1.252319 130.776300
109 10.950000 1.366858 145.380500
110 11.050000 1.472225 159.460500
111 11.150000 1.516633 167.257200
112 11.250000 1.471093 165.158000
113 11.350000 1.383103 158.052300
114 11.450000 1.322118 153.757300
115 11.550000 1.265527 149.757900
116 11.650000 1.197176 144.133300
117 11.750000 1.092016 133.739400
118 11.850000 0.963211 119.981100
119 11.950000 0.888529 112.554300
120 12.050000 0.946642 121.931100
121 12.150000 1.088971 142.601200
122 12.250000 1.211661 161.290100
123 12.350000 1.263268 170.916400
124 12.450000 1.251629 172.095200
125 12.550000 1.219834 170.428700
126 12.650000 1.188801 168.750300
127 12.750000 1.158498 167.059100
