# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000005 0.000200
28 2.850000 0.004014 0.157900
29 2.950000 0.092424 3.895400
30 3.050000 0.518269 23.349600
31 3.150000 1.189784 57.176000
32 3.250000 1.549154 79.247550
33 3.350000 1.464564 79.601700
34 3.450000 1.430454 82.458750
35 3.550000 1.339258 81.742050
36 3.650000 1.186678 76.567250
37 3.750000 1.208685 82.319000
38 3.850000 1.297128 93.116950
39 3.950000 1.312923 99.210550
40 4.050000 1.314899 104.454450
41 4.150000 1.247649 104.067050
42 4.250000 1.108166 96.940950
43 4.350000 0.958156 87.809000
44 4.450000 0.822179 78.851700
45 4.550000 0.768668 77.070150
46 4.650000 0.845276 88.517450
47 4.750000 0.901310 98.488600
48 4.850000 0.858340 97.783900
49 4.950000 0.765655 90.859000
50 5.050000 0.775313 95.760050
51 5.150000 0.982742 126.234600
52 5.250000 1.267846 169.242550
53 5.350000 1.453823 201.531750
54 5.450000 1.437503 206.788450
55 5.550000 1.323588 197.452850
56 5.650000 1.137151 175.808300
57 5.750000 1.012146 162.070350
58 5.850000 0.983517 163.011450
59 5.950000 0.964810 165.424600
60 6.050000 0.931704 165.163200
61 6.150000 0.902952 165.401450
62 6.250000 0.886277 167.669450
63 6.350000 0.875612 170.995150
64 6.450000 0.888561 179.032300
65 6.550000 0.915438 190.211150
66 6.650000 0.944571 202.303000
67 6.750000 0.931695 205.591850
68 6.850000 0.905223 205.712750
69 6.950000 0.935244 218.785850
70 7.050000 1.004724 241.851900
71 7.150000 1.069226 264.731750
72 7.250000 1.126598 286.793700
73 7.350000 1.179827 308.686450
74 7.450000 1.201684 323.018500
75 7.550000 1.231266 339.915050
76 7.650000 1.271916 360.500550
77 7.750000 1.260874 366.774950
78 7.850000 1.258855 375.698700
79 7.950000 1.302459 398.678550
80 8.050000 1.356449 425.715850
81 8.150000 1.394098 448.469650
82 8.250000 1.318615 434.660750
83 8.350000 1.152518 389.175100
84 8.450000 1.028114 355.532500
85 8.550000 0.997580 353.186900
86 8.650000 1.028196 372.591200
87 8.750000 1.030422 382.081200
88 8.850000 1.016498 385.582900
89 8.950000 0.992376 384.987800
90 9.050000 0.959361 380.542850
91 9.150000 0.909339 368.716550
92 9.250000 0.870976 360.922500
93 9.350000 0.905047 383.194350
94 9.450000 0.991412 428.787850
95 9.550000 1.101747 486.646100
96 9.650000 1.163701 524.832200
97 9.750000 1.142832 526.157850
98 9.850000 1.133139 532.451600
99 9.950000 1.132570 543.044700
100 10.050000 1.080820 528.700750
101 10.150000 1.002535 500.214350
102 10.250000 0.959151 488.044450
103 10.350000 0.965879 501.104250
104 10.450000 0.973873 515.062000
105 10.550000 0.973009 524.500750
106 10.650000 0.959430 527.032250
107 10.750000 0.946437 529.703650
108 10.850000 0.957434 545.874300
109 10.950000 0.990966 575.455300
110 11.050000 1.005107 594.376000
111 11.150000 0.977209 588.385150
112 11.250000 0.957942 587.176350
113 11.350000 0.970122 605.261150
114 11.450000 0.980229 622.390850
115 11.550000 0.935759 604.577950
116 11.650000 0.875666 575.592400
117 11.750000 0.824003 550.971650
118 11.850000 0.803175 546.224700
119 11.950000 0.809474 559.839350
120 12.050000 0.826244 581.041000
121 12.150000 0.858070 613.478950
122 12.250000 0.940493 683.521300
123 12.350000 1.011979 747.532400
124 12.450000 1.000275 750.900900
125 12.550000 0.958332 731.017550
126 12.650000 0.939976 728.487900
127 12.750000 0.933608 735.037300
