# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000004 0.000200
28 2.850000 0.002676 0.157900
29 2.950000 0.061616 3.895400
30 3.050000 0.345513 23.349600
31 3.150000 0.793189 57.176000
32 3.250000 1.032773 79.247850
33 3.350000 0.976658 79.624750
34 3.450000 0.966375 83.560200
35 3.550000 0.972836 89.066050
36 3.650000 0.969059 93.788950
37 3.750000 1.199424 122.532450
38 3.850000 1.675487 180.417400
39 3.950000 1.947548 220.748700
40 4.050000 1.853634 220.876650
41 4.150000 1.553609 194.380900
42 4.250000 1.294653 169.881800
43 4.350000 1.133975 155.882650
44 4.450000 1.037985 149.323050
45 4.550000 0.983923 147.978800
46 4.650000 0.978810 153.751750
47 4.750000 0.970632 159.095400
48 4.850000 0.914914 156.343400
49 4.950000 0.805399 143.363050
50 5.050000 0.752268 139.370650
51 5.150000 0.845533 162.914950
52 5.250000 1.026029 205.444250
53 5.350000 1.182501 245.881000
54 5.450000 1.217444 262.698600
55 5.550000 1.143407 255.860150
56 5.650000 1.014455 235.258550
57 5.750000 0.932625 224.005300
58 5.850000 0.926328 230.299100
59 5.950000 0.916416 235.690750
60 6.050000 0.872791 232.079450
61 6.150000 0.842266 231.427700
62 6.250000 0.842719 239.143500
63 6.350000 0.847716 248.321150
64 6.450000 0.880547 266.126250
65 6.550000 0.955374 297.763750
66 6.650000 1.050550 337.501700
67 6.750000 1.136144 376.059700
68 6.850000 1.160251 395.502000
69 6.950000 1.109010 389.153550
70 7.050000 1.098112 396.497550
71 7.150000 1.157387 429.839750
72 7.250000 1.225272 467.869200
73 7.350000 1.260072 494.522300
74 7.450000 1.235327 498.092600
75 7.550000 1.191029 493.210050
76 7.650000 1.162453 494.213000
77 7.750000 1.128358 492.341000
78 7.850000 1.124391 503.352750
79 7.950000 1.182788 543.071400
80 8.050000 1.246183 586.664100
81 8.150000 1.277412 616.399150
82 8.250000 1.242442 614.327100
83 8.350000 1.154703 584.869550
84 8.450000 1.094934 567.959400
85 8.550000 1.090900 579.339000
86 8.650000 1.113301 605.146850
87 8.750000 1.114231 619.736350
88 8.850000 1.117958 636.103250
89 8.950000 1.096230 637.916300
90 9.050000 1.014316 603.512300
91 9.150000 0.932045 566.884900
92 9.250000 0.889759 553.058950
93 9.350000 0.920519 584.617500
94 9.450000 0.993652 644.634450
95 9.550000 1.084083 718.265400
96 9.650000 1.142277 772.755250
97 9.750000 1.125923 777.559950
98 9.850000 1.106218 779.702700
99 9.950000 1.094894 787.469950
100 10.050000 1.048014 768.979900
101 10.150000 0.977921 731.899700
102 10.250000 0.924243 705.423450
103 10.350000 0.900137 700.494900
104 10.450000 0.885958 702.848300
105 10.550000 0.888938 718.773850
106 10.650000 0.909847 749.692500
107 10.750000 0.947412 795.373950
108 10.850000 0.997954 853.464800
109 10.950000 1.045458 910.648400
110 11.050000 1.064128 943.917800
111 11.150000 1.052520 950.595450
112 11.250000 1.028048 945.222950
113 11.350000 1.008198 943.524600
114 11.450000 0.980368 933.718450
115 11.550000 0.936524 907.608800
116 11.650000 0.896522 883.951400
117 11.750000 0.849661 852.191250
118 11.850000 0.816445 832.874650
119 11.950000 0.819221 849.869950
120 12.050000 0.833195 878.893800
121 12.150000 0.848465 909.918000
122 12.250000 0.894462 975.101550
123 12.350000 0.941007 1042.659250
124 12.450000 0.933762 1051.455450
125 12.550000 0.900801 1030.700050
126 12.650000 0.893691 1038.925250
127 12.750000 0.917613 1083.666750
