# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000036 0.000700
30 3.050000 0.013412 0.280000
31 3.150000 0.354055 7.884300
32 3.250000 1.886295 44.714400
33 3.350000 4.104341 103.372300
34 3.450000 5.565656 148.670800
35 3.550000 5.748373 162.582100
36 3.650000 5.043615 150.799100
37 3.750000 3.983808 125.728000
38 3.850000 3.012636 100.216500
39 3.950000 2.305218 80.719300
40 4.050000 1.807296 66.528900
41 4.150000 1.403619 54.252100
42 4.250000 1.123126 45.527900
43 4.350000 0.929041 39.453400
44 4.450000 0.763244 33.919900
45 4.550000 0.644647 29.951300
46 4.650000 0.548072 26.595900
47 4.750000 0.468255 23.710500
48 4.850000 0.412810 21.792400
49 4.950000 0.368634 20.271100
50 5.050000 0.349759 20.018100
51 5.150000 0.351023 20.894000
52 5.250000 0.366312 22.659000
53 5.350000 0.399004 25.630400
54 5.450000 0.455019 30.331500
55 5.550000 0.531584 36.747600
56 5.650000 0.622301 44.582900
57 5.750000 0.688933 51.119200
58 5.850000 0.734517 56.413700
59 5.950000 0.772334 61.363500
60 6.050000 0.787330 64.675300
61 6.150000 0.797034 67.654700
62 6.250000 0.834982 73.199500
63 6.350000 0.898586 81.316400
64 6.450000 0.983710 91.845400
65 6.550000 1.080887 104.072000
66 6.650000 1.180899 117.199900
67 6.750000 1.268722 129.731400
68 6.850000 1.335559 140.642100
69 6.950000 1.364149 147.877700
70 7.050000 1.341455 149.632300
71 7.150000 1.277467 146.565900
72 7.250000 1.181803 139.409400
73 7.350000 1.053662 127.745900
74 7.450000 0.907428 113.030600
75 7.550000 0.759789 97.198200
76 7.650000 0.638454 83.853900
77 7.750000 0.552357 74.455100
78 7.850000 0.494610 68.402700
79 7.950000 0.460914 65.377000
80 8.050000 0.441717 64.240200
81 8.150000 0.432492 64.471000
82 8.250000 0.441182 67.390200
83 8.350000 0.470911 73.685600
84 8.450000 0.511359 81.942700
85 8.550000 0.556491 91.298000
86 8.650000 0.610226 102.469400
87 8.750000 0.669993 115.121700
88 8.850000 0.734222 129.058100
89 8.950000 0.806997 145.073900
90 9.050000 0.870196 159.950400
91 9.150000 0.918592 172.598000
92 9.250000 0.938873 180.285800
93 9.350000 0.942564 184.929100
94 9.450000 0.947518 189.898700
95 9.550000 0.946519 193.734500
96 9.650000 0.926243 193.575600
97 9.750000 0.906240 193.340900
98 9.850000 0.898312 195.600900
99 9.950000 0.910311 202.258700
100 10.050000 0.934466 211.820000
101 10.150000 0.959395 221.820000
102 10.250000 0.988734 233.130100
103 10.350000 1.014056 243.788900
104 10.450000 1.031136 252.708400
105 10.550000 1.024963 256.026000
106 10.650000 1.013043 257.868400
107 10.750000 0.984598 255.356600
108 10.850000 0.941975 248.868500
109 10.950000 0.892855 240.259400
110 11.050000 0.842237 230.796800
111 11.150000 0.793250 221.325100
112 11.250000 0.755645 214.631800
113 11.350000 0.738895 213.621800
114 11.450000 0.736614 216.731600
115 11.550000 0.748083 223.967500
116 11.650000 0.770912 234.816000
117 11.750000 0.802842 248.758000
118 11.850000 0.837224 263.845300
119 11.950000 0.877214 281.133300
120 12.050000 0.919949 299.784300
121 12.150000 0.960937 318.359900
122 12.250000 0.999391 336.572600
123 12.350000 1.063562 364.055700
124 12.450000 1.146958 398.985800
125 12.550000 1.228885 434.379900
126 12.650000 1.284654 461.358200
127 12.750000 1.307968 477.186900
