# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.002787 0.159900
29 2.950000 0.067947 4.176950
30 3.050000 0.388239 25.511800
31 3.150000 0.890908 62.444850
32 3.250000 1.271302 94.854500
33 3.350000 1.358198 107.670100
34 3.450000 1.227960 103.244050
35 3.550000 1.083790 96.481600
36 3.650000 1.046888 98.520950
37 3.750000 1.075078 106.793500
38 3.850000 1.058919 110.873200
39 3.950000 0.962717 106.104900
40 4.050000 0.826210 95.728850
41 4.150000 0.710479 86.435050
42 4.250000 0.647976 82.676000
43 4.350000 0.598595 80.011750
44 4.450000 0.566349 79.222200
45 4.550000 0.547952 80.132350
46 4.650000 0.553698 84.571050
47 4.750000 0.591118 94.211450
48 4.850000 0.653325 108.556400
49 4.950000 0.744652 128.886100
50 5.050000 0.838375 151.030150
51 5.150000 0.996442 186.684900
52 5.250000 1.232900 240.043050
53 5.350000 1.385146 280.056500
54 5.450000 1.361781 285.721500
55 5.550000 1.211599 263.625500
56 5.650000 1.038693 234.221400
57 5.750000 0.923141 215.598750
58 5.850000 0.866412 209.449250
59 5.950000 0.844784 211.262250
60 6.050000 0.867240 224.229400
61 6.150000 0.889181 237.565300
62 6.250000 0.936269 258.346950
63 6.350000 1.012827 288.486200
64 6.450000 1.058419 311.042300
65 6.550000 1.113635 337.495450
66 6.650000 1.182891 369.513800
67 6.750000 1.253492 403.433200
68 6.850000 1.280312 424.364950
69 6.950000 1.263354 431.059450
70 7.050000 1.252535 439.754650
71 7.150000 1.229771 444.098050
72 7.250000 1.183769 439.526850
73 7.350000 1.145479 437.123550
74 7.450000 1.139896 446.910300
75 7.550000 1.160409 467.248100
76 7.650000 1.177906 486.940500
77 7.750000 1.187815 503.958450
78 7.850000 1.177757 512.669650
79 7.950000 1.124603 502.083450
80 8.050000 1.070381 489.973600
81 8.150000 1.039534 487.749250
82 8.250000 1.039109 499.587400
83 8.350000 1.058264 521.205850
84 8.450000 1.068715 539.035900
85 8.550000 1.079255 557.312450
86 8.650000 1.106531 584.841650
87 8.750000 1.125554 608.730450
88 8.850000 1.119533 619.392450
89 8.950000 1.099974 622.401950
90 9.050000 1.077309 623.275400
91 9.150000 1.066564 630.771050
92 9.250000 1.061633 641.653200
93 9.350000 1.075954 664.445750
94 9.450000 1.079302 680.846050
95 9.550000 1.067053 687.440450
96 9.650000 1.048775 689.889150
97 9.750000 1.033934 694.295650
98 9.850000 1.022096 700.497850
99 9.950000 1.027178 718.346900
100 10.050000 1.055338 752.949950
101 10.150000 1.088879 792.417750
102 10.250000 1.070487 794.458950
103 10.350000 1.051474 795.649200
104 10.450000 1.062062 819.265850
105 10.550000 1.073996 844.403800
106 10.650000 1.079404 864.819900
107 10.750000 1.100570 898.415400
108 10.850000 1.141347 949.116650
109 10.950000 1.163224 985.222350
110 11.050000 1.157564 998.416900
111 11.150000 1.136691 998.239050
112 11.250000 1.112079 994.221450
113 11.350000 1.065037 969.167450
114 11.450000 1.000493 926.547350
115 11.550000 0.928246 874.721250
116 11.650000 0.876465 840.289200
117 11.750000 0.852978 831.870750
118 11.850000 0.854524 847.624200
119 11.950000 0.878435 886.111100
120 12.050000 0.911804 935.229400
121 12.150000 0.939361 979.552550
122 12.250000 0.966243 1024.238150
123 12.350000 0.986727 1063.098150
124 12.450000 0.982343 1075.584300
125 12.550000 0.957717 1065.533400
126 12.650000 0.930193 1051.469150
127 12.750000 0.916518 1052.455950
