# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.001858 0.159900
29 2.950000 0.045298 4.176950
30 3.050000 0.258826 25.511800
31 3.150000 0.593939 62.444850
32 3.250000 0.847535 94.854500
33 3.350000 0.905483 107.672200
34 3.450000 0.822256 103.700050
35 3.550000 0.772842 103.200300
36 3.650000 0.921403 130.067650
37 3.750000 1.195970 178.203600
38 3.850000 1.365863 214.517350
39 3.950000 1.360744 224.959600
40 4.050000 1.245144 216.403000
41 4.150000 1.068609 195.006350
42 4.250000 0.915747 175.261650
43 4.350000 0.787094 157.811600
44 4.450000 0.692171 145.233550
45 4.550000 0.622915 136.642450
46 4.650000 0.590409 135.267350
47 4.750000 0.599720 143.373700
48 4.850000 0.639594 159.412250
49 4.950000 0.707092 183.577700
50 5.050000 0.767638 207.430550
51 5.150000 0.855777 240.496400
52 5.250000 0.995994 290.876750
53 5.350000 1.092228 331.248950
54 5.450000 1.089505 342.891050
55 5.550000 1.006485 328.493700
56 5.650000 0.908464 307.283000
57 5.750000 0.846913 296.693550
58 5.850000 0.823772 298.711850
59 5.950000 0.825394 309.619950
60 6.050000 0.864709 335.362650
61 6.150000 0.899237 360.377900
62 6.250000 0.945531 391.354000
63 6.350000 1.007822 430.591300
64 6.450000 1.075900 474.269300
65 6.550000 1.200955 545.937750
66 6.650000 1.360968 637.712750
67 6.750000 1.464800 707.162950
68 6.850000 1.473944 732.817600
69 6.950000 1.413413 723.390150
70 7.050000 1.355402 713.805900
71 7.150000 1.290386 698.981250
72 7.250000 1.215167 676.777500
73 7.350000 1.172080 670.912450
74 7.450000 1.173093 689.888050
75 7.550000 1.197445 723.241350
76 7.650000 1.208758 749.541900
77 7.750000 1.197659 762.202750
78 7.850000 1.149210 750.365050
79 7.950000 1.057609 708.260800
80 8.050000 0.978831 672.098700
81 8.150000 0.943636 664.130800
82 8.250000 0.949480 684.742900
83 8.350000 0.978613 722.965950
84 8.450000 0.996789 754.137200
85 8.550000 1.014534 785.836900
86 8.650000 1.058900 839.500450
87 8.750000 1.105845 897.106700
88 8.850000 1.123685 932.534850
89 8.950000 1.118062 948.955400
90 9.050000 1.101091 955.551950
91 9.150000 1.093651 970.184950
92 9.250000 1.090978 989.084250
93 9.350000 1.097358 1016.495600
94 9.450000 1.100966 1041.768350
95 9.550000 1.106874 1069.642300
96 9.650000 1.119885 1104.999300
97 9.750000 1.122302 1130.453100
98 9.850000 1.115010 1146.265000
99 9.950000 1.109946 1164.345650
100 10.050000 1.117444 1195.890950
101 10.150000 1.118494 1220.954150
102 10.250000 1.077169 1199.127300
103 10.350000 1.034197 1173.864400
104 10.450000 1.019873 1180.083100
105 10.550000 1.026261 1210.309700
106 10.650000 1.045693 1256.715950
107 10.750000 1.080680 1323.268100
108 10.850000 1.117381 1393.780800
109 10.950000 1.124663 1428.842600
110 11.050000 1.101877 1425.579400
111 11.150000 1.066798 1405.288800
112 11.250000 1.037482 1391.296100
113 11.350000 1.013459 1383.348350
114 11.450000 0.984395 1367.458750
115 11.550000 0.945667 1336.706550
116 11.650000 0.922670 1326.880800
117 11.750000 0.926353 1355.145150
118 11.850000 0.943034 1403.129550
119 11.950000 0.956671 1447.544750
120 12.050000 0.959181 1475.734750
121 12.150000 0.944850 1477.914000
122 12.250000 0.935304 1487.164150
123 12.350000 0.938188 1516.203700
124 12.450000 0.937846 1540.295800
125 12.550000 0.927560 1547.972950
126 12.650000 0.914739 1551.001050
127 12.750000 0.910111 1567.647550
