# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.004767 0.048700
31 3.150000 0.174617 1.902900
32 3.250000 1.410384 16.361100
33 3.350000 4.059605 50.035900
34 3.450000 6.315694 82.559600
35 3.550000 6.532115 90.410500
36 3.650000 5.377095 78.675900
37 3.750000 3.976867 61.420300
38 3.850000 2.845499 46.322100
39 3.950000 2.106628 36.098600
40 4.050000 1.574096 28.356300
41 4.150000 1.239900 23.452600
42 4.250000 1.021668 20.267300
43 4.350000 0.857941 17.829700
44 4.450000 0.751079 16.334800
45 4.550000 0.674459 15.335100
46 4.650000 0.627857 14.909900
47 4.750000 0.609354 15.099600
48 4.850000 0.624235 16.126500
49 4.950000 0.692920 18.646700
50 5.050000 0.767904 21.507900
51 5.150000 0.803867 23.415700
52 5.250000 0.810310 24.528900
53 5.350000 0.742585 23.343300
54 5.450000 0.674955 22.017900
55 5.550000 0.654454 22.139800
56 5.650000 0.722986 25.347500
57 5.750000 0.899465 32.660900
58 5.850000 1.131695 42.535300
59 5.950000 1.400952 54.471000
60 6.050000 1.603048 64.441500
61 6.150000 1.632854 67.827500
62 6.250000 1.500568 64.376000
63 6.350000 1.339068 59.300500
64 6.450000 1.231513 56.268700
65 6.550000 1.209543 56.991800
66 6.650000 1.225258 59.508500
67 6.750000 1.215308 60.813800
68 6.850000 1.163442 59.956200
69 6.950000 1.087353 57.683100
70 7.050000 1.015501 55.432800
71 7.150000 0.960699 53.939600
72 7.250000 0.945849 54.601700
73 7.350000 0.967764 57.418600
74 7.450000 0.962483 58.669700
75 7.550000 0.949112 59.418200
76 7.650000 0.904013 58.104000
77 7.750000 0.818290 53.978300
78 7.850000 0.711008 48.119600
79 7.950000 0.615101 42.696200
80 8.050000 0.527976 37.576300
81 8.150000 0.459055 33.487900
82 8.250000 0.435020 32.518100
83 8.350000 0.443498 33.960400
84 8.450000 0.477062 37.410800
85 8.550000 0.530072 42.557400
86 8.650000 0.590979 48.563800
87 8.750000 0.636396 53.512100
88 8.850000 0.651407 56.033400
89 8.950000 0.663638 58.382900
90 9.050000 0.676739 60.873300
91 9.150000 0.679667 62.495200
92 9.250000 0.696745 65.473500
93 9.350000 0.705817 67.767800
94 9.450000 0.728134 71.414000
95 9.550000 0.769793 77.106100
96 9.650000 0.822896 84.160400
97 9.750000 0.865563 90.368300
98 9.850000 0.891090 94.951600
99 9.950000 0.900239 97.884100
100 10.050000 0.890439 98.774500
101 10.150000 0.897385 101.535800
102 10.250000 0.965306 111.383500
103 10.350000 1.085802 127.743700
104 10.450000 1.183220 141.907800
105 10.550000 1.200638 146.766000
106 10.650000 1.139099 141.895600
107 10.750000 1.073154 136.203200
108 10.850000 1.031251 133.331300
109 10.950000 1.001502 131.882900
110 11.050000 0.953098 127.811700
111 11.150000 0.872416 119.119200
112 11.250000 0.791783 110.057500
113 11.350000 0.726747 102.821400
114 11.450000 0.689387 99.261900
115 11.550000 0.662538 97.069500
116 11.650000 0.652471 97.257100
117 11.750000 0.667362 101.191900
118 11.850000 0.700236 107.991400
119 11.950000 0.738342 115.798100
120 12.050000 0.794588 126.714000
121 12.150000 0.876546 142.113500
122 12.250000 0.974778 160.652100
123 12.350000 1.051021 176.057100
124 12.450000 1.092184 185.927200
125 12.550000 1.073648 185.719500
126 12.650000 1.030056 181.029800
127 12.750000 0.974664 174.013700
