# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.001330 0.044900
29 2.950000 0.025669 0.928150
30 3.050000 0.164480 6.357500
31 3.150000 0.541976 22.344700
32 3.250000 1.068587 46.897550
33 3.350000 1.438445 67.074350
34 3.450000 1.590648 78.665750
35 3.550000 1.647837 86.286800
36 3.650000 1.577211 87.307000
37 3.750000 1.458085 85.195950
38 3.850000 1.277534 78.680550
39 3.950000 1.015030 65.803100
40 4.050000 0.785983 53.566950
41 4.150000 0.642520 45.978650
42 4.250000 0.597781 44.863550
43 4.350000 0.633576 49.813950
44 4.450000 0.749642 61.680450
45 4.550000 0.807592 69.468550
46 4.650000 0.741282 66.598300
47 4.750000 0.625649 58.653200
48 4.850000 0.551395 53.891400
49 4.950000 0.514784 52.409400
50 5.050000 0.491048 52.033200
51 5.150000 0.553487 60.995150
52 5.250000 0.809831 92.744150
53 5.350000 1.107861 131.754800
54 5.450000 1.273396 157.155600
55 5.550000 1.286545 164.658650
56 5.650000 1.201690 159.390700
57 5.750000 1.065870 146.424350
58 5.850000 0.932084 132.538000
59 5.950000 0.862366 126.852450
60 6.050000 0.828036 125.931300
61 6.150000 0.800528 125.805700
62 6.250000 0.747483 121.320750
63 6.350000 0.691062 115.781200
64 6.450000 0.688344 118.986750
65 6.550000 0.748567 133.440250
66 6.650000 0.851164 156.397500
67 6.750000 0.910463 172.362800
68 6.850000 0.948858 184.993200
69 6.950000 1.011317 202.969250
70 7.050000 1.061447 219.204750
71 7.150000 1.076594 228.685000
72 7.250000 1.104309 241.179450
73 7.350000 1.168473 262.280950
74 7.450000 1.255931 289.635450
75 7.550000 1.327370 314.383250
76 7.650000 1.338175 325.393850
77 7.750000 1.348092 336.431250
78 7.850000 1.391233 356.215450
79 7.950000 1.456754 382.555200
80 8.050000 1.451509 390.827250
81 8.150000 1.347838 371.985950
82 8.250000 1.200725 339.566700
83 8.350000 1.072481 310.696200
84 8.450000 0.970464 287.916250
85 8.550000 0.910399 276.526900
86 8.650000 0.875158 272.077350
87 8.750000 0.851950 271.021550
88 8.850000 0.879920 286.353950
89 8.950000 0.993583 330.692150
90 9.050000 1.141047 388.306050
91 9.150000 1.237135 430.361000
92 9.250000 1.251393 444.887900
93 9.350000 1.210733 439.789700
94 9.450000 1.172296 434.985050
95 9.550000 1.179086 446.813000
96 9.650000 1.243690 481.216150
97 9.750000 1.304147 515.121150
98 9.850000 1.294441 521.828950
99 9.950000 1.179466 485.182300
100 10.050000 1.033656 433.792100
101 10.150000 0.915293 391.801000
102 10.250000 0.846095 369.351950
103 10.350000 0.842526 375.005250
104 10.450000 0.893023 405.199150
105 10.550000 0.972338 449.671750
106 10.650000 1.034600 487.579300
107 10.750000 1.080396 518.768350
108 10.850000 1.114364 545.079550
109 10.950000 1.128578 562.254950
110 11.050000 1.114368 565.362050
111 11.150000 1.107790 572.243450
112 11.250000 1.112035 584.785800
113 11.350000 1.096281 586.796150
114 11.450000 1.053989 574.143350
115 11.550000 1.014052 562.079200
116 11.650000 1.002846 565.535350
117 11.750000 1.011942 580.503550
118 11.850000 1.032547 602.448850
119 11.950000 1.055272 626.143150
120 12.050000 1.063198 641.448300
121 12.150000 1.069666 656.106450
122 12.250000 1.066766 665.142400
123 12.350000 1.063292 673.844700
124 12.450000 1.052174 677.641200
125 12.550000 1.025878 671.361800
126 12.650000 0.986193 655.717250
127 12.750000 0.975545 658.933150
