# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.000169 0.003950
34 3.450000 0.017161 0.424350
35 3.550000 0.188875 4.945100
36 3.650000 0.686093 18.989450
37 3.750000 1.352971 39.527050
38 3.850000 1.870899 57.612300
39 3.950000 2.180591 70.682500
40 4.050000 2.259645 77.000550
41 4.150000 2.111000 75.531450
42 4.250000 1.780173 66.801100
43 4.350000 1.485120 58.382600
44 4.450000 1.296611 53.342500
45 4.550000 1.153488 49.611150
46 4.650000 0.968850 43.521700
47 4.750000 0.814058 38.158050
48 4.850000 0.672763 32.876750
49 4.950000 0.566373 28.830800
50 5.050000 0.488894 25.902450
51 5.150000 0.427483 23.554650
52 5.250000 0.405331 23.209800
53 5.350000 0.423790 25.200050
54 5.450000 0.446266 27.537850
55 5.550000 0.480707 30.761650
56 5.650000 0.540356 35.836100
57 5.750000 0.613588 42.145950
58 5.850000 0.651966 46.353250
59 5.950000 0.617101 45.387200
60 6.050000 0.538419 40.942500
61 6.150000 0.489018 38.425450
62 6.250000 0.462726 37.551550
63 6.350000 0.506317 42.414400
64 6.450000 0.630925 54.530650
65 6.550000 0.842928 75.130550
66 6.650000 1.153103 105.938750
67 6.750000 1.600539 151.501650
68 6.850000 2.049853 199.823850
69 6.950000 2.198956 220.663100
70 7.050000 1.998108 206.319700
71 7.150000 1.623643 172.443250
72 7.250000 1.278483 139.609350
73 7.350000 1.016404 114.073400
74 7.450000 0.874245 100.806600
75 7.550000 0.831062 98.417200
76 7.650000 0.836645 101.720300
77 7.750000 0.880750 109.900450
78 7.850000 0.900026 115.222600
79 7.950000 0.869402 114.155850
80 8.050000 0.898303 120.936650
81 8.150000 1.087244 150.032700
82 8.250000 1.304082 184.398000
83 8.350000 1.442633 208.964400
84 8.450000 1.506572 223.484200
85 8.550000 1.515765 230.201200
86 8.650000 1.449987 225.392750
87 8.750000 1.304375 207.473250
88 8.850000 1.100274 179.032150
89 8.950000 0.900331 149.827650
90 9.050000 0.817361 139.076800
91 9.150000 0.837655 145.697050
92 9.250000 0.907767 161.362100
93 9.350000 0.973557 176.818700
94 9.450000 1.037280 192.443400
95 9.550000 1.109417 210.206000
96 9.650000 1.172971 226.926500
97 9.750000 1.239732 244.839000
98 9.850000 1.311880 264.429650
99 9.950000 1.374882 282.784100
100 10.050000 1.383980 290.405850
101 10.150000 1.310589 280.505900
102 10.250000 1.194276 260.672850
103 10.350000 1.069129 237.932850
104 10.450000 0.938814 212.988250
105 10.550000 0.845283 195.456700
106 10.650000 0.816936 192.500050
107 10.750000 0.842155 202.186700
108 10.850000 0.874945 213.985200
109 10.950000 0.909934 226.663450
110 11.050000 0.937406 237.791300
111 11.150000 0.998460 257.883750
112 11.250000 1.143078 300.555300
113 11.350000 1.278481 342.160300
114 11.450000 1.285874 350.229750
115 11.550000 1.199037 332.307450
116 11.650000 1.124990 317.208000
117 11.750000 1.078228 309.264250
118 11.850000 1.001541 292.178900
119 11.950000 0.916274 271.834650
120 12.050000 0.861670 259.931300
121 12.150000 0.882537 270.663150
122 12.250000 0.964081 300.558600
123 12.350000 1.062709 336.737750
124 12.450000 1.131468 364.354800
125 12.550000 1.144634 374.539450
126 12.650000 1.129390 375.464050
127 12.750000 1.107139 373.909250
