# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000887 0.044900
29 2.950000 0.017112 0.928150
30 3.050000 0.109653 6.357500
31 3.150000 0.361317 22.344700
32 3.250000 0.712391 46.897550
33 3.350000 0.959020 67.078300
34 3.450000 1.066152 79.090100
35 3.550000 1.161516 91.231900
36 3.650000 1.280172 106.296450
37 3.750000 1.423047 124.723000
38 3.850000 1.475322 136.292850
39 3.950000 1.403550 136.485600
40 4.050000 1.277204 130.567500
41 4.150000 1.132013 121.510100
42 4.250000 0.991912 111.664650
43 4.350000 0.917424 108.196550
44 4.450000 0.931965 115.022950
45 4.550000 0.922891 119.079700
46 4.650000 0.817138 110.120000
47 4.750000 0.688452 96.811250
48 4.850000 0.591851 86.768150
49 4.950000 0.531981 81.240200
50 5.050000 0.490330 77.935650
51 5.150000 0.511486 84.549800
52 5.250000 0.674998 115.953950
53 5.350000 0.879837 156.954850
54 5.450000 0.997686 184.693450
55 5.550000 1.017932 195.420300
56 5.650000 0.981246 195.226800
57 5.750000 0.915109 188.570300
58 5.850000 0.838712 178.891250
59 5.950000 0.780611 172.239650
60 6.050000 0.731497 166.873800
61 6.150000 0.696692 164.231150
62 6.250000 0.652564 158.872300
63 6.350000 0.629480 158.195600
64 6.450000 0.669204 173.517400
65 6.550000 0.780021 208.570800
66 6.650000 0.951810 262.336250
67 6.750000 1.140489 323.864450
68 6.850000 1.315856 384.817050
69 6.950000 1.407197 423.632350
70 7.050000 1.373667 425.524450
71 7.150000 1.258944 401.128250
72 7.250000 1.162367 380.788800
73 7.350000 1.117783 376.354350
74 7.450000 1.128702 390.442050
75 7.550000 1.161934 412.800450
76 7.650000 1.170998 427.114150
77 7.750000 1.192311 446.331700
78 7.850000 1.227497 471.438050
79 7.950000 1.260970 496.711050
80 8.050000 1.267107 511.763900
81 8.150000 1.260974 522.018650
82 8.250000 1.235178 523.964700
83 8.350000 1.195865 519.660600
84 8.450000 1.149166 511.400450
85 8.550000 1.112187 506.728100
86 8.650000 1.066768 497.470100
87 8.750000 1.002759 478.494800
88 8.850000 0.953371 465.386100
89 8.950000 0.962499 480.519800
90 9.050000 1.033152 527.382850
91 9.150000 1.103975 576.058050
92 9.250000 1.136851 606.250000
93 9.350000 1.131674 616.608400
94 9.450000 1.127290 627.428450
95 9.550000 1.155863 657.019000
96 9.650000 1.220117 708.142650
97 9.750000 1.282676 759.960150
98 9.850000 1.300254 786.258600
99 9.950000 1.244604 767.966400
100 10.050000 1.150431 724.197950
101 10.150000 1.047058 672.306900
102 10.250000 0.962155 630.024800
103 10.350000 0.918060 612.938100
104 10.450000 0.908286 618.187400
105 10.550000 0.929986 645.128450
106 10.650000 0.962046 680.079350
107 10.750000 1.000983 720.955050
108 10.850000 1.034557 759.064750
109 10.950000 1.055697 788.918400
110 11.050000 1.055381 803.153350
111 11.150000 1.071347 830.127200
112 11.250000 1.122382 885.341100
113 11.350000 1.157015 928.956450
114 11.450000 1.131284 924.373100
115 11.550000 1.075713 894.386650
116 11.650000 1.043561 882.743350
117 11.750000 1.034037 889.767800
118 11.850000 1.022212 894.627750
119 11.950000 1.008939 897.977800
120 12.050000 0.996022 901.379600
121 12.150000 1.007290 926.769600
122 12.250000 1.032537 965.701000
123 12.350000 1.063097 1010.582450
124 12.450000 1.078605 1041.996000
125 12.550000 1.065463 1045.901250
126 12.650000 1.033925 1031.181300
127 12.750000 1.019410 1032.842400
