# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000021 0.001150
28 2.850000 0.005780 0.341500
29 2.950000 0.090432 5.724500
30 3.050000 0.366731 24.815200
31 3.150000 0.714715 51.585100
32 3.250000 0.966936 74.290750
33 3.350000 1.108891 90.520850
34 3.450000 1.196828 103.619200
35 3.550000 1.234562 113.172200
36 3.650000 1.215358 117.776900
37 3.750000 1.085030 110.987650
38 3.850000 0.934098 100.712650
39 3.950000 0.862948 97.937550
40 4.050000 0.827999 98.789350
41 4.150000 0.769220 96.364500
42 4.250000 0.713187 93.702550
43 4.350000 0.687958 94.691450
44 4.450000 0.664576 95.727150
45 4.550000 0.634097 95.488000
46 4.650000 0.624800 98.269100
47 4.750000 0.650842 106.815200
48 4.850000 0.698664 119.542450
49 4.950000 0.704803 125.617000
50 5.050000 0.690862 128.157600
51 5.150000 0.704369 135.889150
52 5.250000 0.806710 161.735950
53 5.350000 0.944293 196.600600
54 5.450000 1.060321 229.087050
55 5.550000 1.080752 242.148850
56 5.650000 1.034148 240.131950
57 5.750000 0.984501 236.767500
58 5.850000 0.935913 232.979500
59 5.950000 0.912538 234.993200
60 6.050000 0.919161 244.721700
61 6.150000 0.934258 257.032000
62 6.250000 0.961484 273.194850
63 6.350000 0.988973 290.069450
64 6.450000 0.974122 294.783350
65 6.550000 0.927115 289.325350
66 6.650000 0.922021 296.588550
67 6.750000 0.935340 309.989900
68 6.850000 0.964629 329.239500
69 6.950000 0.995689 349.835150
70 7.050000 1.046043 378.179550
71 7.150000 1.120331 416.609050
72 7.250000 1.173676 448.739650
73 7.350000 1.159577 455.663700
74 7.450000 1.123043 453.397650
75 7.550000 1.108727 459.715150
76 7.650000 1.113905 474.177750
77 7.750000 1.151382 503.029100
78 7.850000 1.203030 539.245150
79 7.950000 1.211080 556.772200
80 8.050000 1.178297 555.413900
81 8.150000 1.135907 548.818150
82 8.250000 1.104647 546.892250
83 8.350000 1.097666 556.689850
84 8.450000 1.087227 564.682250
85 8.550000 1.043832 555.051250
86 8.650000 1.000224 544.376800
87 8.750000 0.964480 537.130450
88 8.850000 0.928126 528.766450
89 8.950000 0.918699 535.290400
90 9.050000 0.934584 556.782550
91 9.150000 0.958155 583.509850
92 9.250000 0.986868 614.204150
93 9.350000 1.009089 641.686900
94 9.450000 1.037141 673.707800
95 9.550000 1.071249 710.669300
96 9.650000 1.076598 729.253750
97 9.750000 1.067384 738.074450
98 9.850000 1.060303 748.295100
99 9.950000 1.047775 754.543600
100 10.050000 1.020702 749.896650
101 10.150000 1.012378 758.656550
102 10.250000 1.031542 788.324350
103 10.350000 1.055984 822.826800
104 10.450000 1.105477 878.117500
105 10.550000 1.149664 930.778000
106 10.650000 1.164542 960.781650
107 10.750000 1.161600 976.435900
108 10.850000 1.134168 971.196450
109 10.950000 1.078515 940.642950
110 11.050000 1.038802 922.630350
111 11.150000 1.024032 926.048500
112 11.250000 1.027161 945.613600
113 11.350000 1.015012 951.115800
114 11.450000 0.989786 943.892500
115 11.550000 0.985174 955.976750
116 11.650000 0.989232 976.607700
117 11.750000 0.974699 978.851050
118 11.850000 0.964459 985.123800
119 11.950000 0.965601 1003.006450
120 12.050000 0.955636 1009.338600
121 12.150000 0.944933 1014.667450
122 12.250000 0.947695 1034.454300
123 12.350000 0.963714 1069.183650
124 12.450000 0.977866 1102.524400
125 12.550000 0.990881 1135.218500
126 12.650000 1.006122 1171.121300
127 12.750000 1.015771 1201.120350
