# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.001898 0.074300
34 3.450000 0.024606 1.021400
35 3.550000 0.112209 4.931750
36 3.650000 0.347421 16.142000
37 3.750000 0.804271 39.443950
38 3.850000 1.343845 69.468200
39 3.950000 1.738390 94.592550
40 4.050000 1.922786 109.990850
41 4.150000 1.786263 107.289450
42 4.250000 1.513668 95.350750
43 4.350000 1.267563 83.649550
44 4.450000 1.054087 72.796750
45 4.550000 0.900823 65.039550
46 4.650000 0.823595 62.106250
47 4.750000 0.791023 62.243150
48 4.850000 0.795244 65.237850
49 4.950000 0.782496 66.866400
50 5.050000 0.727532 64.706900
51 5.150000 0.678528 62.762150
52 5.250000 0.612431 58.869600
53 5.350000 0.537049 53.608900
54 5.450000 0.490084 50.766700
55 5.550000 0.476488 51.186250
56 5.650000 0.469876 52.311300
57 5.750000 0.478384 55.160500
58 5.850000 0.505217 60.298300
59 5.950000 0.553734 68.367700
60 6.050000 0.642864 82.062600
61 6.150000 0.736709 97.176650
62 6.250000 0.761335 103.717350
63 6.350000 0.757805 106.566500
64 6.450000 0.826973 119.984850
65 6.550000 0.974413 145.794500
66 6.650000 1.211362 186.824000
67 6.750000 1.450480 230.480850
68 6.850000 1.596700 261.288300
69 6.950000 1.610817 271.350850
70 7.050000 1.551319 268.902550
71 7.150000 1.443902 257.433600
72 7.250000 1.320612 242.084400
73 7.350000 1.277503 240.686750
74 7.450000 1.234539 238.964200
75 7.550000 1.150767 228.768900
76 7.650000 1.087359 221.927550
77 7.750000 1.058981 221.823350
78 7.850000 1.017282 218.623100
79 7.950000 0.966343 213.000750
80 8.050000 0.920240 207.973700
81 8.150000 0.910015 210.804200
82 8.250000 0.956229 226.978850
83 8.350000 1.023958 248.983450
84 8.450000 1.061910 264.433550
85 8.550000 1.079616 275.243400
86 8.650000 1.087909 283.883650
87 8.750000 1.080125 288.406900
88 8.850000 1.057441 288.840450
89 8.950000 1.027021 286.906900
90 9.050000 1.000778 285.858050
91 9.150000 1.021838 298.359300
92 9.250000 1.041337 310.735150
93 9.350000 0.986921 300.899200
94 9.450000 0.933687 290.790750
95 9.550000 0.922353 293.372550
96 9.650000 0.956099 310.508300
97 9.750000 1.000338 331.643550
98 9.850000 1.027263 347.591950
99 9.950000 1.022757 353.129550
100 10.050000 1.025963 361.392700
101 10.150000 1.040443 373.822700
102 10.250000 1.074862 393.836650
103 10.350000 1.151053 430.022700
104 10.450000 1.212057 461.605700
105 10.550000 1.221242 474.047950
106 10.650000 1.177649 465.833300
107 10.750000 1.108529 446.765350
108 10.850000 1.060884 435.555000
109 10.950000 1.047772 438.137500
110 11.050000 1.041551 443.527400
111 11.150000 1.050634 455.529600
112 11.250000 1.061044 468.332300
113 11.350000 1.097151 492.916900
114 11.450000 1.143738 522.941500
115 11.550000 1.143590 532.046850
116 11.650000 1.114717 527.633200
117 11.750000 1.092413 525.990550
118 11.850000 1.064299 521.213950
119 11.950000 1.001644 498.843950
120 12.050000 0.920665 466.220200
121 12.150000 0.870459 448.142800
122 12.250000 0.842313 440.819900
123 12.350000 0.834521 443.901650
124 12.450000 0.849568 459.253500
125 12.550000 0.866540 475.983100
126 12.650000 0.871749 486.505800
127 12.750000 0.875757 496.500400
