# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000007 0.000500
28 2.850000 0.001224 0.097600
29 2.950000 0.033463 2.859400
30 3.050000 0.260245 23.771400
31 3.150000 0.766076 74.638900
32 3.250000 1.195506 123.991150
33 3.350000 1.321879 145.664350
34 3.450000 1.278636 149.436700
35 3.550000 1.201799 148.716950
36 3.650000 1.140908 149.247950
37 3.750000 1.085778 149.925550
38 3.850000 1.006861 146.542300
39 3.950000 0.929662 142.426600
40 4.050000 0.870805 140.250100
41 4.150000 0.833900 141.020550
42 4.250000 0.812628 144.125700
43 4.350000 0.811210 150.724500
44 4.450000 0.806562 156.830250
45 4.550000 0.801984 163.027350
46 4.650000 0.792030 168.158800
47 4.750000 0.788660 174.722650
48 4.850000 0.785533 181.434500
49 4.950000 0.777867 187.149200
50 5.050000 0.781878 195.791400
51 5.150000 0.855198 222.716850
52 5.250000 1.035694 280.299300
53 5.350000 1.204690 338.575050
54 5.450000 1.261516 367.923850
55 5.550000 1.228113 371.446600
56 5.650000 1.164673 365.067250
57 5.750000 1.106804 359.317600
58 5.850000 1.066479 358.373550
59 5.950000 1.028848 357.649300
60 6.050000 1.001710 360.018600
61 6.150000 1.002903 372.461350
62 6.250000 1.027652 394.165200
63 6.350000 1.069814 423.572400
64 6.450000 1.084122 442.863350
65 6.550000 1.095708 461.582550
66 6.650000 1.095524 475.704450
67 6.750000 1.082908 484.474900
68 6.850000 1.067105 491.654950
69 6.950000 1.071780 508.332050
70 7.050000 1.095284 534.535900
71 7.150000 1.125190 564.819950
72 7.250000 1.146775 591.869750
73 7.350000 1.150160 610.105300
74 7.450000 1.148994 626.184450
75 7.550000 1.153651 645.714400
76 7.650000 1.174695 675.025100
77 7.750000 1.219218 719.046000
78 7.850000 1.238717 749.520500
79 7.950000 1.214896 753.954900
80 8.050000 1.163966 740.635050
81 8.150000 1.117113 728.591750
82 8.250000 1.080369 722.024900
83 8.350000 1.069392 732.119600
84 8.450000 1.075844 754.283450
85 8.550000 1.090802 782.979150
86 8.650000 1.103325 810.601800
87 8.750000 1.107925 832.910550
88 8.850000 1.097102 843.733950
89 8.950000 1.070437 841.936150
90 9.050000 1.041264 837.394700
91 9.150000 1.033616 849.715400
92 9.250000 1.047715 880.235150
93 9.350000 1.045806 897.731500
94 9.450000 1.028815 902.137600
95 9.550000 1.012893 907.073300
96 9.650000 1.015265 928.337500
97 9.750000 1.026972 958.605450
98 9.850000 1.028372 979.704000
99 9.950000 1.020962 992.493500
100 10.050000 1.020321 1011.907450
101 10.150000 1.029489 1041.419800
102 10.250000 1.037462 1070.266800
103 10.350000 1.038532 1092.377200
104 10.450000 1.035000 1109.800350
105 10.550000 1.040862 1137.549350
106 10.650000 1.054172 1174.039600
107 10.750000 1.060358 1203.209850
108 10.850000 1.062498 1228.173300
109 10.950000 1.060174 1248.180750
110 11.050000 1.046251 1254.389650
111 11.150000 1.031628 1259.345400
112 11.250000 1.009482 1254.514400
113 11.350000 0.981480 1241.495950
114 11.450000 0.955538 1230.073350
115 11.550000 0.943940 1236.460700
116 11.650000 0.938338 1250.498450
117 11.750000 0.944407 1280.286050
118 11.850000 0.957325 1319.982750
119 11.950000 0.960746 1347.151500
120 12.050000 0.958094 1366.011000
121 12.150000 0.958421 1389.251700
122 12.250000 0.967990 1426.313300
123 12.350000 0.974828 1459.937050
124 12.450000 0.970758 1477.479750
125 12.550000 0.959392 1483.732500
126 12.650000 0.935717 1470.271100
127 12.750000 0.910535 1453.412750
