# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.000530 0.028950
34 3.450000 0.018968 1.098250
35 3.550000 0.156292 9.581500
36 3.650000 0.574839 37.253850
37 3.750000 1.228134 84.013200
38 3.850000 1.742681 125.654700
39 3.950000 1.915605 145.391650
40 4.050000 1.871319 149.312850
41 4.150000 1.723042 144.354850
42 4.250000 1.523776 133.886950
43 4.350000 1.309705 120.556700
44 4.450000 1.113461 107.259100
45 4.550000 0.952622 95.936200
46 4.650000 0.846722 89.060700
47 4.750000 0.805979 88.460650
48 4.850000 0.813912 93.132300
49 4.950000 0.838621 99.957450
50 5.050000 0.836220 103.739100
51 5.150000 0.822237 106.084250
52 5.250000 0.806048 108.073400
53 5.350000 0.782248 108.915850
54 5.450000 0.763279 110.284800
55 5.550000 0.783813 117.445850
56 5.650000 0.800644 124.329850
57 5.750000 0.803930 129.298400
58 5.850000 0.800092 133.195950
59 5.950000 0.814915 140.341300
60 6.050000 0.857556 152.690600
61 6.150000 0.913182 168.014450
62 6.250000 0.950023 180.523300
63 6.350000 0.993332 194.841300
64 6.450000 1.092284 221.051850
65 6.550000 1.253378 261.579700
66 6.650000 1.405918 302.442350
67 6.750000 1.508513 334.345850
68 6.850000 1.561094 356.327650
69 6.950000 1.528158 359.068350
70 7.050000 1.421373 343.657300
71 7.150000 1.319059 328.031550
72 7.250000 1.231862 314.976050
73 7.350000 1.180343 310.186050
74 7.450000 1.170581 316.048100
75 7.550000 1.185912 328.840900
76 7.650000 1.194012 339.915350
77 7.750000 1.171403 342.254500
78 7.850000 1.117937 335.116450
79 7.950000 1.056219 324.733950
80 8.050000 1.017272 320.677250
81 8.150000 1.015453 328.106150
82 8.250000 1.037145 343.389300
83 8.350000 1.061650 360.075500
84 8.450000 1.058705 367.728750
85 8.550000 1.061010 377.303750
86 8.650000 1.099335 400.130400
87 8.750000 1.124599 418.844750
88 8.850000 1.111987 423.667850
89 8.950000 1.079978 420.823800
90 9.050000 1.051446 418.912700
91 9.150000 1.049293 427.344450
92 9.250000 1.062137 442.082600
93 9.350000 1.077190 458.094300
94 9.450000 1.086054 471.796300
95 9.550000 1.082837 480.406950
96 9.650000 1.075520 487.205750
97 9.750000 1.078770 498.858600
98 9.850000 1.086867 512.965600
99 9.950000 1.096462 528.055050
100 10.050000 1.089253 535.180550
101 10.150000 1.053736 528.084200
102 10.250000 1.009243 515.801700
103 10.350000 0.974928 508.033600
104 10.450000 0.963357 511.751500
105 10.550000 0.978253 529.657850
106 10.650000 0.996246 549.673900
107 10.750000 1.018478 572.542700
108 10.850000 1.039754 595.428150
109 10.950000 1.047131 610.757200
110 11.050000 1.043337 619.709750
111 11.150000 1.037673 627.551550
112 11.250000 1.022039 629.233650
113 11.350000 1.002376 628.147700
114 11.450000 0.988568 630.458900
115 11.550000 0.983270 638.081650
116 11.650000 0.990699 654.082800
117 11.750000 1.012002 679.667400
118 11.850000 1.015551 693.709500
119 11.950000 0.997081 692.636900
120 12.050000 0.962510 679.858900
121 12.150000 0.930362 668.103250
122 12.250000 0.915777 668.499900
123 12.350000 0.903390 670.267750
124 12.450000 0.890879 671.733000
125 12.550000 0.880631 674.715350
126 12.650000 0.883669 687.876050
127 12.750000 0.884810 699.696600
