# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.010366 0.024700
30 3.050000 0.699322 1.781200
31 3.150000 5.967399 16.212200
32 3.250000 10.501593 30.370900
33 3.350000 9.151646 28.120600
34 3.450000 7.468819 24.340300
35 3.550000 5.941083 20.500200
36 3.650000 4.314119 15.736700
37 3.750000 3.109887 11.974100
38 3.850000 2.284829 9.272800
39 3.950000 1.971916 8.424000
40 4.050000 1.887051 8.474800
41 4.150000 1.774789 8.369100
42 4.250000 1.569576 7.762400
43 4.350000 1.287008 6.668000
44 4.450000 0.962107 5.216500
45 4.550000 0.729539 4.135300
46 4.650000 0.602911 3.569400
47 4.750000 0.638091 3.941900
48 4.850000 0.707197 4.554700
49 4.950000 0.830176 5.569500
50 5.050000 0.995973 6.954500
51 5.150000 1.075669 7.811400
52 5.250000 1.057992 7.984300
53 5.350000 0.966290 7.572700
54 5.450000 0.861890 7.009400
55 5.550000 0.778703 6.567400
56 5.650000 0.708089 6.189000
57 5.750000 0.641432 5.806600
58 5.850000 0.578132 5.417200
59 5.950000 0.561535 5.443100
60 6.050000 0.579266 5.805300
61 6.150000 0.607386 6.290000
62 6.250000 0.635116 6.792800
63 6.350000 0.606583 6.696900
64 6.450000 0.592301 6.746800
65 6.550000 0.597977 7.024300
66 6.650000 0.599000 7.252800
67 6.750000 0.567411 7.078500
68 6.850000 0.554694 7.126400
69 6.950000 0.498484 6.592600
70 7.050000 0.466932 6.354300
71 7.150000 0.400988 5.612800
72 7.250000 0.345852 4.977400
73 7.350000 0.298598 4.416700
74 7.450000 0.258419 3.927100
75 7.550000 0.228495 3.566200
76 7.650000 0.205504 3.292900
77 7.750000 0.206176 3.390600
78 7.850000 0.226033 3.813700
79 7.950000 0.279961 4.844700
80 8.050000 0.361551 6.415000
81 8.150000 0.440330 8.008100
82 8.250000 0.505414 9.418700
83 8.350000 0.537231 10.255800
84 8.450000 0.594544 11.623400
85 8.550000 0.573384 11.476600
86 8.650000 0.544305 11.150900
87 8.750000 0.521907 10.940700
88 8.850000 0.480536 10.305000
89 8.950000 0.426939 9.363700
90 9.050000 0.359317 8.057700
91 9.150000 0.298054 6.832400
92 9.250000 0.248229 5.815300
93 9.350000 0.256638 6.143000
94 9.450000 0.263345 6.439100
95 9.550000 0.317227 7.921600
96 9.650000 0.387335 9.875900
97 9.750000 0.421972 10.983200
98 9.850000 0.396233 10.525900
99 9.950000 0.353934 9.594100
100 10.050000 0.359079 9.930200
101 10.150000 0.440965 12.438600
102 10.250000 0.567679 16.330000
103 10.350000 0.692608 20.314400
104 10.450000 0.733804 21.940600
105 10.550000 0.720773 21.965400
106 10.650000 0.661614 20.546600
107 10.750000 0.621510 19.665300
108 10.850000 0.585569 18.874400
109 10.950000 0.601182 19.736500
110 11.050000 0.638242 21.337600
111 11.150000 0.710177 24.174200
112 11.250000 0.790004 27.376000
113 11.350000 0.847343 29.887300
114 11.450000 0.870915 31.262400
115 11.550000 0.915586 33.442500
116 11.650000 0.900793 33.474400
117 11.750000 0.899020 33.984500
118 11.850000 0.904250 34.766500
119 11.950000 0.914108 35.741200
120 12.050000 0.948644 37.714900
121 12.150000 1.037634 41.940400
122 12.250000 1.152433 47.350400
123 12.350000 1.257560 52.516800
124 12.450000 1.341556 56.935500
125 12.550000 1.415375 61.037200
126 12.650000 1.439707 63.079900
127 12.750000 1.444584 64.298200
