# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000027 0.000650
28 2.850000 0.008169 0.214650
29 2.950000 0.129275 3.639500
30 3.050000 0.513580 15.455800
31 3.150000 0.985147 31.623200
32 3.250000 1.427123 48.765400
33 3.350000 1.538637 55.861100
34 3.450000 1.251467 48.188250
35 3.550000 0.959003 39.098500
36 3.650000 0.848895 36.586700
37 3.750000 0.861300 39.183250
38 3.850000 0.931998 44.691000
39 3.950000 0.938360 47.363900
40 4.050000 0.833539 44.230250
41 4.150000 0.707111 39.397400
42 4.250000 0.597282 34.901250
43 4.350000 0.544908 33.356900
44 4.450000 0.591255 37.877250
45 4.550000 0.625655 41.902650
46 4.650000 0.601313 42.062050
47 4.750000 0.646582 47.194800
48 4.850000 0.779427 59.312000
49 4.950000 0.964576 76.459350
50 5.050000 1.149290 94.819150
51 5.150000 1.262458 108.321600
52 5.250000 1.408891 125.626000
53 5.350000 1.446943 133.980850
54 5.450000 1.246235 119.750250
55 5.550000 1.034839 103.119900
56 5.650000 0.999420 103.211650
57 5.750000 1.046253 111.906650
58 5.850000 1.096186 121.361100
59 5.950000 1.158470 132.679100
60 6.050000 1.261106 149.329650
61 6.150000 1.208075 147.818100
62 6.250000 1.069918 135.205400
63 6.350000 1.064534 138.864350
64 6.450000 0.971329 130.728200
65 6.550000 0.763012 105.900450
66 6.650000 0.634448 90.765950
67 6.750000 0.617495 91.017450
68 6.850000 0.732865 111.247050
69 6.950000 0.818604 127.916650
70 7.050000 0.915964 147.278750
71 7.150000 1.132797 187.347450
72 7.250000 1.296626 220.482550
73 7.350000 1.337530 233.755450
74 7.450000 1.255537 225.437250
75 7.550000 1.201102 221.491600
76 7.650000 1.250376 236.726700
77 7.750000 1.318942 256.278900
78 7.850000 1.337387 266.612250
79 7.950000 1.300376 265.880650
80 8.050000 1.236779 259.279000
81 8.150000 1.109676 238.448750
82 8.250000 0.980029 215.789500
83 8.350000 0.941798 212.429350
84 8.450000 0.979097 226.163750
85 8.550000 0.981585 232.136600
86 8.650000 0.977918 236.710950
87 8.750000 1.036842 256.810200
88 8.850000 1.090964 276.427000
89 8.950000 1.057369 274.003650
90 9.050000 1.011892 268.111150
91 9.150000 1.004611 272.096900
92 9.250000 1.022833 283.120700
93 9.350000 1.058977 299.497600
94 9.450000 1.082895 312.848250
95 9.550000 1.114780 328.911850
96 9.650000 1.139217 343.197950
97 9.750000 1.181067 363.218050
98 9.850000 1.197771 375.949850
99 9.950000 1.142617 365.957300
100 10.050000 1.093024 357.145800
101 10.150000 1.076890 358.911400
102 10.250000 1.084197 368.501800
103 10.350000 1.050022 363.883700
104 10.450000 1.046827 369.820550
105 10.550000 1.020813 367.565600
106 10.650000 0.942596 345.866300
107 10.750000 0.946119 353.709250
108 10.850000 0.987653 376.138350
109 10.950000 1.029275 399.248600
110 11.050000 1.042732 411.889750
111 11.150000 1.042670 419.353500
112 11.250000 1.045792 428.187400
113 11.350000 1.040275 433.534450
114 11.450000 1.013397 429.807900
115 11.550000 0.958190 413.522550
116 11.650000 0.929037 407.914100
117 11.750000 0.932555 416.518250
118 11.850000 0.963525 437.707050
119 11.950000 0.993109 458.792350
120 12.050000 1.009591 474.245650
121 12.150000 1.037521 495.487800
122 12.250000 1.079020 523.823900
123 12.350000 1.072162 529.027050
124 12.450000 0.988372 495.613100
125 12.550000 0.878517 447.632250
126 12.650000 0.809003 418.807600
127 12.750000 0.833833 438.513550
