# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000018 0.000650
28 2.850000 0.005446 0.214650
29 2.950000 0.086183 3.639500
30 3.050000 0.342387 15.455800
31 3.150000 0.656765 31.623200
32 3.250000 0.951418 48.765550
33 3.350000 1.026779 55.916700
34 3.450000 0.856357 49.461550
35 3.550000 0.794134 48.565200
36 3.650000 1.031702 66.698300
37 3.750000 1.322862 90.271800
38 3.850000 1.455101 104.662100
39 3.950000 1.337968 101.301250
40 4.050000 1.063855 84.677400
41 4.150000 0.811299 67.803500
42 4.250000 0.628003 55.044600
43 4.350000 0.537752 49.378200
44 4.450000 0.544392 52.312650
45 4.550000 0.560398 56.298150
46 4.650000 0.549324 57.638050
47 4.750000 0.591968 64.812750
48 4.850000 0.713570 81.450700
49 4.950000 0.902988 107.366150
50 5.050000 1.114664 137.943600
51 5.150000 1.255888 161.636800
52 5.250000 1.327961 177.614650
53 5.350000 1.294109 179.743550
54 5.450000 1.128889 162.711850
55 5.550000 1.015889 151.847300
56 5.650000 1.065049 164.983800
57 5.750000 1.152552 184.914550
58 5.850000 1.121149 186.187250
59 5.950000 1.052882 180.879100
60 6.050000 1.089393 193.495200
61 6.150000 1.047008 192.165300
62 6.250000 0.963842 182.700850
63 6.350000 1.006404 196.922200
64 6.450000 1.040859 210.129050
65 6.550000 1.011254 210.531800
66 6.650000 0.977420 209.748850
67 6.750000 0.974329 215.421000
68 6.850000 0.959659 218.510750
69 6.950000 0.882497 206.850950
70 7.050000 0.889094 214.437550
71 7.150000 1.042613 258.648550
72 7.250000 1.178039 300.476650
73 7.350000 1.242919 325.830900
74 7.450000 1.220376 328.685800
75 7.550000 1.173838 324.696100
76 7.650000 1.188391 337.486950
77 7.750000 1.255010 365.784800
78 7.850000 1.241206 371.157500
79 7.950000 1.146100 351.505050
80 8.050000 1.062905 334.242150
81 8.150000 0.990129 319.140550
82 8.250000 0.956865 316.033700
83 8.350000 1.013454 342.887550
84 8.450000 1.126026 390.154500
85 8.550000 1.149101 407.629350
86 8.650000 1.116564 405.406450
87 8.750000 1.124223 417.679800
88 8.850000 1.133644 430.861950
89 8.950000 1.059797 411.949000
90 9.050000 1.011887 402.165000
91 9.150000 1.061719 431.346750
92 9.250000 1.123301 466.395600
93 9.350000 1.117241 473.963500
94 9.450000 1.082495 469.098700
95 9.550000 1.077754 476.981400
96 9.650000 1.086830 491.123800
97 9.750000 1.113089 513.468550
98 9.850000 1.120696 527.637000
99 9.950000 1.079840 518.776850
100 10.050000 1.045044 512.202350
101 10.150000 1.041442 520.645450
102 10.250000 1.081244 551.247300
103 10.350000 1.093379 568.363900
104 10.450000 1.062008 562.775350
105 10.550000 0.983550 531.222350
106 10.650000 0.912929 502.471250
107 10.750000 0.956796 536.551000
108 10.850000 1.048159 598.772100
109 10.950000 1.094100 636.590300
110 11.050000 1.059334 627.671500
111 11.150000 1.036542 625.333400
112 11.250000 1.044923 641.747350
113 11.350000 1.049345 655.971450
114 11.450000 1.023290 651.005700
115 11.550000 0.976309 632.012950
116 11.650000 0.960878 632.841300
117 11.750000 0.948518 635.471600
118 11.850000 0.943172 642.691350
119 11.950000 0.955575 662.179000
120 12.050000 0.995156 701.196850
121 12.150000 1.045585 749.008650
122 12.250000 1.073226 781.516700
123 12.350000 1.048045 775.690800
124 12.450000 0.980187 737.263200
125 12.550000 0.906444 692.792450
126 12.650000 0.852815 662.233000
127 12.750000 0.843546 665.432300
