# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000189 0.001900
30 3.050000 0.042218 0.454300
31 3.150000 0.511131 5.866800
32 3.250000 2.122141 25.929200
33 3.350000 4.928692 63.983700
34 3.450000 7.033103 96.835200
35 3.550000 6.884025 100.356900
36 3.650000 5.311345 81.853700
37 3.750000 3.739040 60.823400
38 3.850000 2.673667 45.843400
39 3.950000 2.110696 38.095000
40 4.050000 1.747774 33.162200
41 4.150000 1.465593 29.198300
42 4.250000 1.216926 25.426700
43 4.350000 1.048173 22.943500
44 4.450000 0.879701 20.151300
45 4.550000 0.788756 18.889200
46 4.650000 0.710110 17.761500
47 4.750000 0.627264 16.371400
48 4.850000 0.519662 14.140100
49 4.950000 0.450140 12.758700
50 5.050000 0.404707 11.939100
51 5.150000 0.410433 12.592300
52 5.250000 0.447905 14.280800
53 5.350000 0.551974 18.275700
54 5.450000 0.673619 23.144900
55 5.550000 0.780211 27.800100
56 5.650000 0.800505 29.560300
57 5.750000 0.720471 27.555000
58 5.850000 0.663040 26.248200
59 5.950000 0.658678 26.974600
60 6.050000 0.674045 28.539600
61 6.150000 0.720942 31.542700
62 6.250000 0.826651 37.353400
63 6.350000 1.008128 47.023100
64 6.450000 1.188393 57.191000
65 6.550000 1.326634 65.838800
66 6.650000 1.336418 68.365000
67 6.750000 1.268248 66.843600
68 6.850000 1.178017 63.941200
69 6.950000 1.099216 61.418700
70 7.050000 1.019823 58.634200
71 7.150000 0.953164 56.367400
72 7.250000 0.874454 53.169300
73 7.350000 0.806814 50.419200
74 7.450000 0.750200 48.165700
75 7.550000 0.739140 48.738100
76 7.650000 0.725914 49.142400
77 7.750000 0.689678 47.917900
78 7.850000 0.627787 44.750700
79 7.950000 0.577618 42.230200
80 8.050000 0.563534 42.243500
81 8.150000 0.567646 43.615500
82 8.250000 0.599637 47.211100
83 8.350000 0.654155 52.759600
84 8.450000 0.702787 58.047700
85 8.550000 0.755176 63.859900
86 8.650000 0.777707 67.312600
87 8.750000 0.782226 69.278200
88 8.850000 0.813794 73.730800
89 8.950000 0.847933 78.569800
90 9.050000 0.893017 84.606700
91 9.150000 0.907719 87.910700
92 9.250000 0.863896 85.505300
93 9.350000 0.787983 79.687100
94 9.450000 0.720306 74.409600
95 9.550000 0.665882 70.250900
96 9.650000 0.657526 70.829700
97 9.750000 0.695877 76.522600
98 9.850000 0.750070 84.182600
99 9.950000 0.805054 92.197500
100 10.050000 0.841580 98.327600
101 10.150000 0.892017 106.304900
102 10.250000 0.952613 115.774400
103 10.350000 1.002627 124.241900
104 10.450000 1.047050 132.265900
105 10.550000 1.074120 138.294800
106 10.650000 1.078940 141.561300
107 10.750000 1.073392 143.490600
108 10.850000 1.058692 144.170800
109 10.950000 1.051628 145.860800
110 11.050000 1.047632 147.972600
111 11.150000 1.030679 148.224900
112 11.250000 1.012700 148.263400
113 11.350000 0.984062 146.643300
114 11.450000 0.979047 148.478100
115 11.550000 0.978523 151.002100
116 11.650000 0.990829 155.560200
117 11.750000 1.010017 161.306800
118 11.850000 1.059955 172.175800
119 11.950000 1.134689 187.439300
120 12.050000 1.217648 204.523800
121 12.150000 1.296328 221.368300
122 12.250000 1.332994 231.392100
123 12.350000 1.322876 233.400100
124 12.450000 1.270332 227.774000
125 12.550000 1.195536 217.820200
126 12.650000 1.123820 208.030000
127 12.750000 1.092668 205.473900
