# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000708 0.034200
28 2.850000 0.076050 3.948050
29 2.950000 0.316173 17.585850
30 3.050000 0.247824 14.734550
31 3.150000 0.548437 34.781000
32 3.250000 1.105689 74.643900
33 3.350000 1.637344 117.442200
34 3.450000 1.794525 136.515550
35 3.550000 1.610581 129.728000
36 3.650000 1.409246 119.996050
37 3.750000 1.231211 110.659750
38 3.850000 1.066991 101.082700
39 3.950000 0.904766 90.224600
40 4.050000 0.750841 78.714050
41 4.150000 0.668007 73.531250
42 4.250000 0.700887 80.913400
43 4.350000 0.709281 85.781050
44 4.450000 0.715064 90.502300
45 4.550000 0.769327 101.795450
46 4.650000 0.826704 114.248550
47 4.750000 0.858079 123.739750
48 4.850000 0.861467 129.513950
49 4.950000 0.869924 136.234150
50 5.050000 0.787973 128.436600
51 5.150000 0.877651 148.775250
52 5.250000 1.078998 190.078750
53 5.350000 1.198169 219.189650
54 5.450000 1.230672 233.630650
55 5.550000 1.195880 235.433450
56 5.650000 1.129228 230.394950
57 5.750000 1.064278 224.897750
58 5.850000 1.020544 223.222500
59 5.950000 0.981821 222.157450
60 6.050000 0.969142 226.721400
61 6.150000 0.958504 231.706850
62 6.250000 0.945532 236.064650
63 6.350000 0.935385 241.064000
64 6.450000 0.905476 240.763650
65 6.550000 0.887386 243.326600
66 6.650000 0.911484 257.624200
67 6.750000 0.999950 291.192500
68 6.850000 1.063671 318.994350
69 6.950000 1.066334 329.198000
70 7.050000 1.067054 338.968250
71 7.150000 1.142107 373.175800
72 7.250000 1.085475 364.661750
73 7.350000 1.135710 392.136050
74 7.450000 1.214762 430.921450
75 7.550000 1.279685 466.220800
76 7.650000 1.353424 506.234000
77 7.750000 1.359366 521.836450
78 7.850000 1.279094 503.774450
79 7.950000 1.181834 477.403000
80 8.050000 1.120171 463.949200
81 8.150000 1.065991 452.546650
82 8.250000 1.009909 439.323850
83 8.350000 0.981029 437.168900
84 8.450000 0.999378 456.076700
85 8.550000 1.028493 480.538200
86 8.650000 1.013332 484.594500
87 8.750000 0.990957 484.914950
88 8.850000 0.996798 498.985700
89 8.950000 1.020249 522.332350
90 9.050000 1.061052 555.428500
91 9.150000 1.098008 587.546550
92 9.250000 1.046001 572.018750
93 9.350000 0.991636 554.077100
94 9.450000 0.973579 555.685650
95 9.550000 0.995836 580.482550
96 9.650000 1.011990 602.317500
97 9.750000 1.011951 614.841850
98 9.850000 0.981653 608.730650
99 9.950000 0.981761 621.221700
100 10.050000 0.996923 643.558750
101 10.150000 1.013717 667.487750
102 10.250000 1.027513 689.968700
103 10.350000 1.035585 709.024100
104 10.450000 1.033895 721.611650
105 10.550000 1.059617 753.786500
106 10.650000 1.109435 804.258700
107 10.750000 1.072917 792.460150
108 10.850000 1.030421 775.298100
109 10.950000 1.020874 782.338450
110 11.050000 0.991608 773.854200
111 11.150000 0.948371 753.567900
112 11.250000 0.923313 746.876150
113 11.350000 0.972244 800.500300
114 11.450000 1.047594 877.806100
115 11.550000 1.031087 879.131000
116 11.650000 0.964880 836.988650
117 11.750000 0.921763 813.372600
118 11.850000 0.916472 822.527250
119 11.950000 0.918360 838.191650
120 12.050000 0.925413 858.824200
121 12.150000 0.930795 878.215050
122 12.250000 0.924383 886.581500
123 12.350000 0.891968 869.516600
124 12.450000 0.871128 863.008250
125 12.550000 0.868064 873.843750
126 12.650000 0.886347 906.524550
127 12.750000 0.923866 959.895200
