# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.014352 0.514700
34 3.450000 0.263969 10.040500
35 3.550000 0.356403 14.353650
36 3.650000 0.670154 28.531500
37 3.750000 1.298149 58.338000
38 3.850000 1.767951 83.744500
39 3.950000 1.964460 97.949400
40 4.050000 2.132995 111.805800
41 4.150000 2.116734 116.500300
42 4.250000 1.873828 108.161350
43 4.350000 1.561739 94.439050
44 4.450000 1.325937 83.908800
45 4.550000 1.193559 78.964400
46 4.650000 1.079205 74.571750
47 4.750000 0.919977 66.332850
48 4.850000 0.753296 56.625700
49 4.950000 0.691931 54.179850
50 5.050000 0.679611 55.386950
51 5.150000 0.634566 53.784350
52 5.250000 0.621141 54.710800
53 5.350000 0.666378 60.952700
54 5.450000 0.760299 72.167500
55 5.550000 0.822584 80.971250
56 5.650000 0.811506 82.785300
57 5.750000 0.726182 76.726500
58 5.850000 0.661865 72.384550
59 5.950000 0.655787 74.192750
60 6.050000 0.701666 82.074050
61 6.150000 0.709627 85.771900
62 6.250000 0.713826 89.108000
63 6.350000 0.792183 102.079250
64 6.450000 0.869356 115.579700
65 6.550000 1.009991 138.472900
66 6.650000 1.148995 162.377500
67 6.750000 1.455066 211.862850
68 6.850000 1.625626 243.762150
69 6.950000 1.685166 260.121900
70 7.050000 1.687726 268.067750
71 7.150000 1.620771 264.788000
72 7.250000 1.531077 257.180250
73 7.350000 1.454779 251.151700
74 7.450000 1.378742 244.545650
75 7.550000 1.274427 232.152550
76 7.650000 1.030763 192.772950
77 7.750000 0.868775 166.753650
78 7.850000 0.790372 155.645100
79 7.950000 0.783324 158.212350
80 8.050000 0.833421 172.591950
81 8.150000 0.905206 192.144050
82 8.250000 1.002837 218.123700
83 8.350000 1.128066 251.345900
84 8.450000 1.195651 272.823900
85 8.550000 1.209710 282.603850
86 8.650000 1.188737 284.238350
87 8.750000 1.118697 273.711500
88 8.850000 1.036840 259.515250
89 8.950000 0.978745 250.541650
90 9.050000 0.936270 245.054550
91 9.150000 0.948576 253.792650
92 9.250000 0.971207 265.558100
93 9.350000 0.977243 273.017450
94 9.450000 0.965454 275.524250
95 9.550000 0.953799 277.989450
96 9.650000 0.949670 282.612900
97 9.750000 0.955550 290.286600
98 9.850000 0.977721 303.146050
99 9.950000 1.027459 325.068700
100 10.050000 1.107264 357.394350
101 10.150000 1.163277 382.983250
102 10.250000 1.150480 386.270200
103 10.350000 1.113071 381.037850
104 10.450000 1.146665 400.159950
105 10.550000 1.096499 390.011900
106 10.650000 0.985004 357.027550
107 10.750000 0.943056 348.272450
108 10.850000 0.982561 369.644000
109 10.950000 1.034842 396.521550
110 11.050000 1.008770 393.623600
111 11.150000 1.003681 398.758600
112 11.250000 1.038380 419.977300
113 11.350000 1.073171 441.799550
114 11.450000 1.073285 449.666400
115 11.550000 1.017004 433.561850
116 11.650000 0.938052 406.858400
117 11.750000 0.884737 390.350200
118 11.850000 0.859690 385.783150
119 11.950000 0.827669 377.708800
120 12.050000 0.829245 384.788100
121 12.150000 0.846853 399.507500
122 12.250000 0.826521 396.360800
123 12.350000 0.778157 379.285200
124 12.450000 0.791624 392.122900
125 12.550000 0.871610 438.706700
126 12.650000 0.972528 497.333700
127 12.750000 1.023302 531.604300
