# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000472 0.034200
28 2.850000 0.050700 3.948050
29 2.950000 0.210782 17.585850
30 3.050000 0.165216 14.734550
31 3.150000 0.365624 34.781000
32 3.250000 0.737126 74.643900
33 3.350000 1.096347 117.956900
34 3.450000 1.284339 146.556050
35 3.550000 1.192521 144.081650
36 3.650000 1.162882 148.527550
37 3.750000 1.253524 168.997750
38 3.850000 1.300645 184.827200
39 3.950000 1.257997 188.174000
40 4.050000 1.211559 190.519850
41 4.150000 1.150916 190.031550
42 4.250000 1.091867 189.074750
43 4.350000 0.993434 180.220100
44 4.450000 0.918689 174.411100
45 4.550000 0.910738 180.759850
46 4.650000 0.910871 188.820300
47 4.750000 0.878712 190.072600
48 4.850000 0.825410 186.139650
49 4.950000 0.810593 190.414000
50 5.050000 0.751852 183.823550
51 5.150000 0.796623 202.559600
52 5.250000 0.926379 244.789550
53 5.350000 1.020905 280.142350
54 5.450000 1.073881 305.798150
55 5.550000 1.071448 316.404700
56 5.650000 1.023321 313.180250
57 5.750000 0.951579 301.624250
58 5.850000 0.900984 295.607050
59 5.950000 0.873143 296.350200
60 6.050000 0.879983 308.795450
61 6.150000 0.875545 317.478750
62 6.250000 0.868297 325.172650
63 6.350000 0.887651 343.143250
64 6.450000 0.893436 356.343350
65 6.550000 0.928254 381.799500
66 6.650000 0.990654 420.001700
67 6.750000 1.151655 503.055350
68 6.850000 1.250989 562.756500
69 6.950000 1.272611 589.319900
70 7.050000 1.273944 607.036000
71 7.150000 1.301662 637.963800
72 7.250000 1.234009 621.842000
73 7.350000 1.242066 643.287750
74 7.450000 1.269422 675.467100
75 7.550000 1.277933 698.373350
76 7.650000 1.245870 699.006950
77 7.750000 1.195836 688.590100
78 7.850000 1.116186 659.419550
79 7.950000 1.048997 635.615350
80 8.050000 1.024587 636.541150
81 8.150000 1.012396 644.690700
82 8.250000 1.007552 657.447550
83 8.350000 1.030041 688.514800
84 8.450000 1.064803 728.900600
85 8.550000 1.088898 763.142050
86 8.650000 1.071801 768.832850
87 8.750000 1.033537 758.626450
88 8.850000 1.010145 758.500950
89 8.950000 1.006414 772.874000
90 9.050000 1.019458 800.483050
91 9.150000 1.048198 841.339200
92 9.250000 1.021070 837.576850
93 9.350000 0.986839 827.094550
94 9.450000 0.970871 831.209900
95 9.550000 0.981824 858.472000
96 9.650000 0.991217 884.930400
97 9.750000 0.993151 905.128450
98 9.850000 0.980343 911.876700
99 9.950000 0.996994 946.290400
100 10.050000 1.033703 1000.953100
101 10.150000 1.063570 1050.471000
102 10.250000 1.068502 1076.238900
103 10.350000 1.061414 1090.061950
104 10.450000 1.071485 1121.771600
105 10.550000 1.071911 1143.798400
106 10.650000 1.067958 1161.286250
107 10.750000 1.029630 1140.732600
108 10.850000 1.014468 1144.942100
109 10.950000 1.025530 1178.860000
110 11.050000 0.997329 1167.477800
111 11.150000 0.966808 1152.326500
112 11.250000 0.961669 1166.853450
113 11.350000 1.005886 1242.299850
114 11.450000 1.056158 1327.472500
115 11.550000 1.026392 1312.692850
116 11.650000 0.955937 1243.847050
117 11.750000 0.909421 1203.722800
118 11.850000 0.897545 1208.310400
119 11.950000 0.888130 1215.900450
120 12.050000 0.893357 1243.612300
121 12.150000 0.902814 1277.722550
122 12.250000 0.891762 1282.942300
123 12.350000 0.854031 1248.801800
124 12.450000 0.844626 1255.131150
125 12.550000 0.869246 1312.550450
126 12.650000 0.915074 1403.858250
127 12.750000 0.957011 1491.499500
