# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000469 0.021100
30 3.050000 0.027240 1.310600
31 3.150000 0.549097 28.179700
32 3.250000 2.877527 157.200000
33 3.350000 5.981596 347.194700
34 3.450000 6.863913 422.548300
35 3.550000 5.738829 374.064400
36 3.650000 4.295619 295.990600
37 3.750000 3.171955 230.704400
38 3.850000 2.438852 186.970600
39 3.950000 1.954942 157.759100
40 4.050000 1.634242 138.641400
41 4.150000 1.415493 126.087000
42 4.250000 1.229791 114.888200
43 4.350000 1.056033 103.352800
44 4.450000 0.885799 90.723900
45 4.550000 0.761221 81.507900
46 4.650000 0.700471 78.336200
47 4.750000 0.657553 76.733400
48 4.850000 0.615451 74.876100
49 4.950000 0.554316 70.248000
50 5.050000 0.498376 65.736400
51 5.150000 0.455989 62.551100
52 5.250000 0.407160 58.043100
53 5.350000 0.352518 52.186100
54 5.450000 0.300255 46.126400
55 5.550000 0.271721 43.288800
56 5.650000 0.269760 44.539000
57 5.750000 0.302532 51.733600
58 5.850000 0.378156 66.934400
59 5.950000 0.481342 88.136200
60 6.050000 0.618885 117.162000
61 6.150000 0.796845 155.880000
62 6.250000 0.998132 201.657600
63 6.350000 1.188224 247.806300
64 6.450000 1.316721 283.321600
65 6.550000 1.352544 300.123700
66 6.650000 1.337772 305.979200
67 6.750000 1.284736 302.752500
68 6.850000 1.206211 292.732400
69 6.950000 1.090275 272.378100
70 7.050000 0.963317 247.636000
71 7.150000 0.835095 220.807900
72 7.250000 0.729887 198.425700
73 7.350000 0.654295 182.816100
74 7.450000 0.624418 179.247900
75 7.550000 0.636552 187.669600
76 7.650000 0.686246 207.715500
77 7.750000 0.735623 228.520600
78 7.850000 0.760349 242.336300
79 7.950000 0.738633 241.451300
80 8.050000 0.693405 232.404800
81 8.150000 0.632997 217.462000
82 8.250000 0.587618 206.856700
83 8.350000 0.557517 201.046900
84 8.450000 0.550432 203.274600
85 8.550000 0.547296 206.928600
86 8.650000 0.544947 210.888300
87 8.750000 0.537459 212.827400
88 8.850000 0.529446 214.474000
89 8.950000 0.526840 218.268400
90 9.050000 0.530751 224.829900
91 9.150000 0.539489 233.609700
92 9.250000 0.557675 246.791900
93 9.350000 0.590142 266.836900
94 9.450000 0.627089 289.640600
95 9.550000 0.667055 314.655300
96 9.650000 0.698859 336.597100
97 9.750000 0.712379 350.257100
98 9.850000 0.722528 362.571400
99 9.950000 0.738177 377.983800
100 10.050000 0.778172 406.512800
101 10.150000 0.845928 450.746000
102 10.250000 0.932516 506.722500
103 10.350000 0.993784 550.603800
104 10.450000 1.028659 580.992200
105 10.550000 1.011992 582.570300
106 10.650000 0.976587 572.896800
107 10.750000 0.944915 564.775500
108 10.850000 0.935390 569.532900
109 10.950000 0.939536 582.650300
110 11.050000 0.950397 600.200300
111 11.150000 0.967125 621.868500
112 11.250000 0.988754 647.231300
113 11.350000 1.009826 672.829100
114 11.450000 1.031813 699.645700
115 11.550000 1.054004 727.231200
116 11.650000 1.074867 754.523700
117 11.750000 1.099972 785.459700
118 11.850000 1.133135 822.971200
119 11.950000 1.171813 865.487200
120 12.050000 1.206016 905.719300
121 12.150000 1.223756 934.359000
122 12.250000 1.223495 949.600000
123 12.350000 1.198156 945.178300
124 12.450000 1.155838 926.620900
125 12.550000 1.114769 908.110300
126 12.650000 1.088433 900.842800
127 12.750000 1.097299 922.596700
