# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.000113 0.017050
34 3.450000 0.007648 1.219300
35 3.550000 0.093929 15.854600
36 3.650000 0.445628 79.516300
37 3.750000 1.209362 227.780750
38 3.850000 2.101312 417.167350
39 3.950000 2.542148 531.243100
40 4.050000 2.413093 530.129950
41 4.150000 2.051285 473.173550
42 4.250000 1.669252 403.829550
43 4.350000 1.346745 341.320400
44 4.450000 1.101450 292.134650
45 4.550000 0.919673 255.008500
46 4.650000 0.778621 225.491500
47 4.750000 0.676413 204.407900
48 4.850000 0.618946 195.000100
49 4.950000 0.607221 199.276200
50 5.050000 0.636253 217.325550
51 5.150000 0.707578 251.354600
52 5.250000 0.801907 296.033400
53 5.350000 0.893591 342.566500
54 5.450000 0.934189 371.643000
55 5.550000 0.912824 376.592150
56 5.650000 0.852657 364.560500
57 5.750000 0.796508 352.715150
58 5.850000 0.783390 359.077350
59 5.950000 0.790187 374.681400
60 6.050000 0.825275 404.583150
61 6.150000 0.913410 462.715800
62 6.250000 1.018356 532.792150
63 6.350000 1.059486 572.191050
64 6.450000 1.008038 561.687550
65 6.550000 0.925193 531.634550
66 6.650000 0.910605 539.351350
67 6.750000 1.016292 620.189250
68 6.850000 1.227319 771.323800
69 6.950000 1.462417 946.104300
70 7.050000 1.653370 1100.643050
71 7.150000 1.756452 1202.670550
72 7.250000 1.715293 1207.570950
73 7.350000 1.525796 1104.001150
74 7.450000 1.297931 964.855700
75 7.550000 1.119801 854.935000
76 7.650000 0.995541 780.333350
77 7.750000 0.894607 719.671100
78 7.850000 0.818348 675.422550
79 7.950000 0.789732 668.516500
80 8.050000 0.825714 716.670550
81 8.150000 0.906266 806.249450
82 8.250000 1.010309 921.001550
83 8.350000 1.126362 1051.838950
84 8.450000 1.219978 1166.711800
85 8.550000 1.274603 1247.973350
86 8.650000 1.290493 1293.261350
87 8.750000 1.237400 1268.891400
88 8.850000 1.108124 1162.447100
89 8.950000 0.982441 1054.025100
90 9.050000 0.949104 1041.140150
91 9.150000 1.011418 1134.151400
92 9.250000 1.134548 1300.183850
93 9.350000 1.239839 1451.733050
94 9.450000 1.263181 1510.871450
95 9.550000 1.222489 1493.310250
96 9.650000 1.167041 1455.589900
97 9.750000 1.113863 1418.206600
98 9.850000 1.063375 1381.838150
99 9.950000 1.041961 1381.643300
100 10.050000 1.072142 1450.382650
101 10.150000 1.126039 1553.760000
102 10.250000 1.189057 1673.203100
103 10.350000 1.239943 1779.019700
104 10.450000 1.245717 1822.007950
105 10.550000 1.185712 1767.593400
106 10.650000 1.082744 1644.838300
107 10.750000 0.955348 1478.689200
108 10.850000 0.853792 1346.200500
109 10.950000 0.820865 1318.251250
110 11.050000 0.850105 1390.258800
111 11.150000 0.887633 1478.023900
112 11.250000 0.917807 1555.802750
113 11.350000 0.933698 1611.003400
114 11.450000 0.916127 1608.663300
115 11.550000 0.883226 1578.099250
116 11.650000 0.853327 1551.192300
117 11.750000 0.844087 1560.850250
118 11.850000 0.840165 1580.154400
119 11.950000 0.832529 1592.330900
120 12.050000 0.833003 1620.015300
121 12.150000 0.846283 1673.272650
122 12.250000 0.863963 1736.463900
123 12.350000 0.891476 1821.134350
124 12.450000 0.924461 1919.223550
125 12.550000 0.965606 2036.975900
126 12.650000 1.000127 2143.555000
127 12.750000 1.030184 2243.021350
