# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000008 0.002300
28 2.850000 0.001382 0.450950
29 2.950000 0.033268 11.632950
30 3.050000 0.207283 77.478800
31 3.150000 0.542899 216.451200
32 3.250000 0.877646 372.482350
33 3.350000 1.027592 463.371950
34 3.450000 0.990775 473.841200
35 3.550000 0.888407 449.871100
36 3.650000 0.874407 468.078950
37 3.750000 1.042306 588.948750
38 3.850000 1.307406 778.666300
39 3.950000 1.446073 906.575500
40 4.050000 1.392046 917.451450
41 4.150000 1.248856 864.227300
42 4.250000 1.106968 803.401000
43 4.350000 1.004006 763.368800
44 4.450000 0.929121 739.285000
45 4.550000 0.871393 724.863450
46 4.650000 0.844438 733.657150
47 4.750000 0.833675 755.794000
48 4.850000 0.813729 769.100150
49 4.950000 0.792457 780.199050
50 5.050000 0.792334 811.915200
51 5.150000 0.856530 912.802300
52 5.250000 0.974648 1079.408600
53 5.350000 1.079289 1241.265750
54 5.450000 1.104592 1318.300300
55 5.550000 1.054551 1305.188550
56 5.650000 0.977315 1253.576800
57 5.750000 0.913140 1213.089400
58 5.850000 0.883414 1214.774000
59 5.950000 0.873819 1243.010300
60 6.050000 0.872817 1283.670700
61 6.150000 0.902747 1371.942900
62 6.250000 0.969027 1520.952100
63 6.350000 1.038832 1683.108750
64 6.450000 1.090307 1822.584650
65 6.550000 1.112022 1916.970850
66 6.650000 1.117435 1985.569850
67 6.750000 1.135760 2079.283250
68 6.850000 1.173890 2213.237800
69 6.950000 1.217624 2363.211200
70 7.050000 1.241588 2479.564250
71 7.150000 1.246331 2560.147950
72 7.250000 1.224192 2585.502700
73 7.350000 1.173309 2546.870000
74 7.450000 1.127230 2513.880300
75 7.550000 1.096880 2512.305450
76 7.650000 1.087833 2558.024100
77 7.750000 1.087391 2624.270750
78 7.850000 1.090165 2699.300650
79 7.950000 1.100234 2794.080050
80 8.050000 1.112011 2895.477850
81 8.150000 1.112593 2969.415500
82 8.250000 1.099767 3007.655350
83 8.350000 1.097098 3073.534550
84 8.450000 1.107586 3177.683050
85 8.550000 1.124667 3303.510600
86 8.650000 1.137557 3419.989550
87 8.750000 1.121364 3449.707500
88 8.850000 1.065992 3354.747900
89 8.950000 1.018026 3276.608150
90 9.050000 1.015004 3340.292300
91 9.150000 1.041129 3502.402750
92 9.250000 1.088931 3743.719650
93 9.350000 1.143186 4015.685300
94 9.450000 1.179826 4233.516850
95 9.550000 1.191085 4364.847050
96 9.650000 1.182072 4423.011650
97 9.750000 1.163910 4445.783050
98 9.850000 1.146129 4468.128250
99 9.950000 1.137282 4524.118200
100 10.050000 1.137290 4615.544550
101 10.150000 1.134702 4697.141000
102 10.250000 1.131128 4775.061050
103 10.350000 1.117093 4808.280300
104 10.450000 1.085390 4762.531800
105 10.550000 1.043873 4668.445700
106 10.650000 1.005874 4584.187800
107 10.750000 0.967449 4492.256950
108 10.850000 0.932170 4409.346350
109 10.950000 0.914705 4406.853850
110 11.050000 0.914907 4488.702550
111 11.150000 0.912928 4560.428600
112 11.250000 0.909168 4623.476050
113 11.350000 0.902504 4671.542250
114 11.450000 0.888424 4680.054000
115 11.550000 0.880377 4719.023900
116 11.650000 0.879910 4798.545650
117 11.750000 0.891826 4947.382100
118 11.850000 0.911518 5143.058100
119 11.950000 0.924557 5305.046400
120 12.050000 0.932112 5438.280000
121 12.150000 0.937812 5562.726950
122 12.250000 0.940827 5672.852700
123 12.350000 0.944260 5786.888900
124 12.450000 0.957002 5960.339600
125 12.550000 0.971875 6150.597500
126 12.650000 0.971087 6243.939350
127 12.750000 0.962074 6284.175050
