# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000046 0.000800
30 3.050000 0.015889 0.293300
31 3.150000 0.409399 8.060700
32 3.250000 2.236339 46.871500
33 3.350000 4.614458 102.757800
34 3.450000 5.569508 131.540500
35 3.550000 5.084306 127.143100
36 3.650000 4.169274 110.217500
37 3.750000 3.221800 89.901200
38 3.850000 2.457544 72.281500
39 3.950000 1.947320 60.288700
40 4.050000 1.635074 53.217200
41 4.150000 1.457820 49.820100
42 4.250000 1.352885 48.489000
43 4.350000 1.243643 46.695900
44 4.450000 1.143100 44.916800
45 4.550000 1.118141 45.932900
46 4.650000 1.171461 50.261800
47 4.750000 1.209947 54.169900
48 4.850000 1.246126 58.163400
49 4.950000 1.221561 59.392300
50 5.050000 1.168208 59.116300
51 5.150000 1.068552 56.236000
52 5.250000 0.979589 53.575600
53 5.350000 0.888102 50.440000
54 5.450000 0.793208 46.750300
55 5.550000 0.706481 43.180800
56 5.650000 0.659990 41.806000
57 5.750000 0.636272 41.742900
58 5.850000 0.661420 44.915200
59 5.950000 0.700987 49.243400
60 6.050000 0.775996 56.360500
61 6.150000 0.870825 65.356000
62 6.250000 0.948526 73.521400
63 6.350000 1.001067 80.096800
64 6.450000 1.051854 86.831900
65 6.550000 1.081210 92.044300
66 6.650000 1.087761 95.451200
67 6.750000 1.076956 97.366600
68 6.850000 1.082031 100.745400
69 6.950000 1.081087 103.617900
70 7.050000 1.062848 104.822300
71 7.150000 1.034691 104.960800
72 7.250000 1.011554 105.504100
73 7.350000 0.983007 105.374500
74 7.450000 0.932326 102.679700
75 7.550000 0.861631 97.458500
76 7.650000 0.821337 95.378100
77 7.750000 0.824605 98.277400
78 7.850000 0.875018 106.994300
79 7.950000 0.921412 115.556000
80 8.050000 0.957211 123.084700
81 8.150000 0.962186 126.817400
82 8.250000 0.943615 127.440400
83 8.350000 0.889397 123.047600
84 8.450000 0.792741 112.318000
85 8.550000 0.668649 96.991800
86 8.650000 0.559293 83.037900
87 8.750000 0.487162 74.010600
88 8.850000 0.459699 71.443800
89 8.950000 0.465742 74.028000
90 9.050000 0.503493 81.826700
91 9.150000 0.551988 91.701400
92 9.250000 0.628159 106.649100
93 9.350000 0.720650 125.012100
94 9.450000 0.805425 142.722700
95 9.550000 0.881149 159.463200
96 9.650000 0.953499 176.189200
97 9.750000 0.997322 188.126200
98 9.850000 1.029598 198.218600
99 9.950000 1.077882 211.749200
100 10.050000 1.138305 228.136700
101 10.150000 1.172183 239.624900
102 10.250000 1.125381 234.612900
103 10.350000 1.031416 219.239700
104 10.450000 0.935975 202.815500
105 10.550000 0.893656 197.369400
106 10.650000 0.889258 200.138900
107 10.750000 0.921116 211.220400
108 10.850000 0.983870 229.827300
109 10.950000 1.036927 246.706700
110 11.050000 1.082997 262.395400
111 11.150000 1.091165 269.181200
112 11.250000 1.089553 273.626300
113 11.350000 1.059474 270.823600
114 11.450000 1.022704 266.051300
115 11.550000 0.958163 253.634300
116 11.650000 0.870369 234.401100
117 11.750000 0.782062 214.250300
118 11.850000 0.702264 195.677900
119 11.950000 0.665153 188.478500
120 12.050000 0.688147 198.271300
121 12.150000 0.766856 224.631500
122 12.250000 0.889353 264.819900
123 12.350000 1.026440 310.650400
124 12.450000 1.162814 357.645900
125 12.550000 1.266382 395.782400
126 12.650000 1.313416 417.049600
127 12.750000 1.301001 419.664700
