# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000018 0.000850
33 3.350000 0.002196 0.110200
34 3.450000 0.060357 3.212400
35 3.550000 0.379492 21.385800
36 3.650000 0.933054 55.585100
37 3.750000 1.387678 87.260450
38 3.850000 1.706770 113.126050
39 3.950000 1.808271 126.160600
40 4.050000 1.724801 126.507150
41 4.150000 1.593993 122.757700
42 4.250000 1.488790 120.247850
43 4.350000 1.369483 115.878050
44 4.450000 1.286447 113.914250
45 4.550000 1.218016 112.756600
46 4.650000 1.159261 112.086500
47 4.750000 1.062131 107.159700
48 4.850000 0.874572 91.990950
49 4.950000 0.659922 72.305100
50 5.050000 0.542183 61.829350
51 5.150000 0.489957 58.108400
52 5.250000 0.462663 57.022950
53 5.350000 0.427533 54.719650
54 5.450000 0.419318 55.693200
55 5.550000 0.449990 61.980450
56 5.650000 0.470706 67.191250
57 5.750000 0.498161 73.649800
58 5.850000 0.508755 77.855000
59 5.950000 0.497162 78.704150
60 6.050000 0.453337 74.199000
61 6.150000 0.444253 75.135800
62 6.250000 0.524589 91.631550
63 6.350000 0.670516 120.898900
64 6.450000 0.843929 156.997050
65 6.550000 1.092110 209.514900
66 6.650000 1.371655 271.240400
67 6.750000 1.604796 326.959150
68 6.850000 1.676561 351.776400
69 6.950000 1.618920 349.672100
70 7.050000 1.508900 335.355050
71 7.150000 1.372627 313.783900
72 7.250000 1.241992 291.918100
73 7.350000 1.128768 272.675150
74 7.450000 1.085039 269.292400
75 7.550000 1.123600 286.399200
76 7.650000 1.178942 308.518750
77 7.750000 1.148564 308.478350
78 7.850000 1.112755 306.623050
79 7.950000 1.162394 328.513850
80 8.050000 1.248699 361.839100
81 8.150000 1.291253 383.524100
82 8.250000 1.272410 387.258650
83 8.350000 1.245499 388.313500
84 8.450000 1.226706 391.669600
85 8.550000 1.157658 378.424000
86 8.650000 1.072581 358.862800
87 8.750000 0.991098 339.311650
88 8.850000 0.931736 326.321250
89 8.950000 0.894438 320.377900
90 9.050000 0.874573 320.301650
91 9.150000 0.870204 325.783700
92 9.250000 0.885132 338.654950
93 9.350000 0.933647 364.982300
94 9.450000 0.968678 386.820200
95 9.550000 0.966426 394.131800
96 9.650000 0.974767 405.902300
97 9.750000 1.024799 435.626000
98 9.850000 1.070022 464.227900
99 9.950000 1.069618 473.522850
100 10.050000 1.015425 458.612500
101 10.150000 0.931011 428.896850
102 10.250000 0.862402 405.157100
103 10.350000 0.840333 402.530150
104 10.450000 0.890688 434.934800
105 10.550000 0.993718 494.577200
106 10.650000 1.111074 563.518750
107 10.750000 1.187178 613.477650
108 10.850000 1.203798 633.693200
109 10.950000 1.177957 631.573150
110 11.050000 1.163551 635.296000
111 11.150000 1.166975 648.749900
112 11.250000 1.161113 657.121500
113 11.350000 1.174291 676.446350
114 11.450000 1.182445 693.199150
115 11.550000 1.136064 677.692850
116 11.650000 1.085695 658.909650
117 11.750000 1.050327 648.435000
118 11.850000 1.016728 638.421400
119 11.950000 0.987056 630.294450
120 12.050000 0.956530 621.067400
121 12.150000 0.937379 618.776600
122 12.250000 0.938546 629.787500
123 12.350000 0.915131 624.141450
124 12.450000 0.874490 606.121550
125 12.550000 0.842112 593.093600
126 12.650000 0.829238 593.370700
127 12.750000 0.843762 613.347450
