# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000397 0.002600
30 3.050000 0.088710 0.620800
31 3.150000 1.150454 8.587600
32 3.250000 4.308171 34.232700
33 3.350000 7.812982 65.961100
34 3.450000 9.274359 83.043100
35 3.550000 8.538591 80.951400
36 3.650000 6.751457 67.665100
37 3.750000 5.092804 53.876700
38 3.850000 3.824103 42.641500
39 3.950000 3.033405 35.604600
40 4.050000 2.565926 31.661800
41 4.150000 2.319044 30.046000
42 4.250000 2.119057 28.794000
43 4.350000 1.953526 27.808600
44 4.450000 1.761552 26.242000
45 4.550000 1.581146 24.625000
46 4.650000 1.350090 21.960900
47 4.750000 1.139737 19.345200
48 4.850000 0.997040 17.643200
49 4.950000 0.913816 16.844200
50 5.050000 0.826375 15.854100
51 5.150000 0.785358 15.669800
52 5.250000 0.753294 15.619400
53 5.350000 0.775047 16.688500
54 5.450000 0.854807 19.100400
55 5.550000 0.896259 20.768300
56 5.650000 0.864764 20.767100
57 5.750000 0.778309 19.358400
58 5.850000 0.715098 18.410200
59 5.950000 0.681992 18.163300
60 6.050000 0.650231 17.904400
61 6.150000 0.660751 18.800500
62 6.250000 0.699250 20.548200
63 6.350000 0.800463 24.281200
64 6.450000 0.910586 28.498500
65 6.550000 1.038155 33.506300
66 6.650000 1.200038 39.922700
67 6.750000 1.281597 43.927900
68 6.850000 1.317481 46.505800
69 6.950000 1.256661 45.663500
70 7.050000 1.110599 41.525700
71 7.150000 0.903951 34.764700
72 7.250000 0.697759 27.590700
73 7.350000 0.541089 21.990000
74 7.450000 0.420898 17.574000
75 7.550000 0.344993 14.794000
76 7.650000 0.292955 12.897500
77 7.750000 0.272889 12.330200
78 7.850000 0.290160 13.451100
79 7.950000 0.298156 14.176200
80 8.050000 0.332885 16.228100
81 8.150000 0.392449 19.610100
82 8.250000 0.425405 21.781700
83 8.350000 0.458076 24.026600
84 8.450000 0.464875 24.970700
85 8.550000 0.453640 24.947400
86 8.650000 0.455533 25.640900
87 8.750000 0.477114 27.480200
88 8.850000 0.479426 28.248100
89 8.950000 0.485229 29.239800
90 9.050000 0.474005 29.205300
91 9.150000 0.444664 28.006300
92 9.250000 0.413205 26.596900
93 9.350000 0.392305 25.800500
94 9.450000 0.395859 26.594100
95 9.550000 0.434818 29.832900
96 9.650000 0.462541 32.403100
97 9.750000 0.476710 34.091400
98 9.850000 0.497646 36.322400
99 9.950000 0.516215 38.446600
100 10.050000 0.528412 40.150100
101 10.150000 0.527312 40.867800
102 10.250000 0.527332 41.678600
103 10.350000 0.544399 43.871200
104 10.450000 0.569793 46.809200
105 10.550000 0.626442 52.452600
106 10.650000 0.687038 58.622100
107 10.750000 0.743011 64.594200
108 10.850000 0.786494 69.652400
109 10.950000 0.810254 73.085400
110 11.050000 0.794631 72.991400
111 11.150000 0.764593 71.509100
112 11.250000 0.726025 69.125500
113 11.350000 0.707523 68.566800
114 11.450000 0.709227 69.948400
115 11.550000 0.722767 72.534400
116 11.650000 0.746146 76.182800
117 11.750000 0.784642 81.494600
118 11.850000 0.812219 85.800800
119 11.950000 0.830326 89.200200
120 12.050000 0.826382 90.268500
121 12.150000 0.831707 92.364400
122 12.250000 0.857995 96.858600
123 12.350000 0.914262 104.902600
124 12.450000 0.971977 113.338200
125 12.550000 1.058761 125.448900
126 12.650000 1.157160 139.301600
127 12.750000 1.236086 151.164800
