# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000004 0.000100
30 3.050000 0.006707 0.203700
31 3.150000 0.178986 5.798200
32 3.250000 1.230643 42.437600
33 3.350000 3.420458 125.321600
34 3.450000 5.273875 204.936900
35 3.550000 5.607439 230.713700
36 3.650000 4.854453 211.143700
37 3.750000 3.756212 172.450600
38 3.850000 2.794028 135.208600
39 3.950000 2.054025 104.629000
40 4.050000 1.525978 81.716600
41 4.150000 1.156229 65.011800
42 4.250000 0.909916 53.657600
43 4.350000 0.764124 47.205700
44 4.450000 0.664734 42.975400
45 4.550000 0.609111 41.169100
46 4.650000 0.546368 38.569400
47 4.750000 0.497155 36.621100
48 4.850000 0.464719 35.688300
49 4.950000 0.474386 37.948500
50 5.050000 0.511307 42.571300
51 5.150000 0.535101 46.334300
52 5.250000 0.551167 49.596800
53 5.350000 0.542638 50.707200
54 5.450000 0.534462 51.827700
55 5.550000 0.545563 54.863400
56 5.650000 0.573754 59.796400
57 5.750000 0.617714 66.676900
58 5.850000 0.662396 74.008500
59 5.950000 0.725319 83.833000
60 6.050000 0.786565 93.993400
61 6.150000 0.845388 104.389900
62 6.250000 0.908343 115.840900
63 6.350000 0.964353 126.950900
64 6.450000 1.010502 137.248900
65 6.550000 1.033722 144.790000
66 6.650000 1.060039 153.044400
67 6.750000 1.075439 159.972500
68 6.850000 1.092823 167.410700
69 6.950000 1.105087 174.268200
70 7.050000 1.092191 177.226600
71 7.150000 1.073282 179.134000
72 7.250000 1.038473 178.206500
73 7.350000 0.994736 175.442500
74 7.450000 0.941641 170.627800
75 7.550000 0.900605 167.602400
76 7.650000 0.849475 162.302600
77 7.750000 0.819074 160.612200
78 7.850000 0.784286 157.785100
79 7.950000 0.762766 157.390100
80 8.050000 0.743809 157.364000
81 8.150000 0.712836 154.581400
82 8.250000 0.690608 153.458800
83 8.350000 0.675506 153.763900
84 8.450000 0.670470 156.294900
85 8.550000 0.685013 163.487000
86 8.650000 0.715515 174.784600
87 8.750000 0.747867 186.935900
88 8.850000 0.787038 201.249300
89 8.950000 0.815956 213.385600
90 9.050000 0.855829 228.842400
91 9.150000 0.885323 241.989200
92 9.250000 0.906653 253.266000
93 9.350000 0.924739 263.933400
94 9.450000 0.937739 273.399500
95 9.550000 0.951564 283.332900
96 9.650000 0.960700 292.075000
97 9.750000 0.975941 302.890000
98 9.850000 0.988919 313.245800
99 9.950000 0.990866 320.267800
100 10.050000 0.981108 323.519800
101 10.150000 0.962574 323.756500
102 10.250000 0.944864 324.092500
103 10.350000 0.940941 329.075300
104 10.450000 0.951896 339.370600
105 10.550000 0.972646 353.437000
106 10.650000 0.981555 363.467800
107 10.750000 0.986209 372.081600
108 10.850000 0.978215 375.963800
109 10.950000 0.975762 381.965500
110 11.050000 0.972006 387.476900
111 11.150000 0.971778 394.428900
112 11.250000 0.966512 399.359700
113 11.350000 0.954513 401.444600
114 11.450000 0.942445 403.384500
115 11.550000 0.937814 408.444300
116 11.650000 0.943494 418.064200
117 11.750000 0.949621 428.033900
118 11.850000 0.959973 440.096500
119 11.950000 0.967079 450.868300
120 12.050000 0.975521 462.448100
121 12.150000 0.995865 479.959900
122 12.250000 1.023427 501.396400
123 12.350000 1.052800 524.241900
124 12.450000 1.086560 549.850400
125 12.550000 1.117676 574.718700
126 12.650000 1.138631 594.861800
127 12.750000 1.147769 609.153700
