# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000720 0.076150
29 2.950000 0.023849 2.702050
30 3.050000 0.185839 22.506650
31 3.150000 0.561636 72.552050
32 3.250000 1.008210 138.641000
33 3.350000 1.316200 192.302700
34 3.450000 1.393939 216.000900
35 3.550000 1.347599 221.101300
36 3.650000 1.263259 219.104850
37 3.750000 1.180174 216.063950
38 3.850000 1.108063 213.825500
39 3.950000 1.040339 211.321100
40 4.050000 1.001886 213.945000
41 4.150000 0.994078 222.889850
42 4.250000 0.981659 230.840550
43 4.350000 0.943429 232.413550
44 4.450000 0.881173 227.172150
45 4.550000 0.820687 221.194450
46 4.650000 0.786943 221.525100
47 4.750000 0.770400 226.296250
48 4.850000 0.776304 237.732750
49 4.950000 0.801829 255.779600
50 5.050000 0.851151 282.594200
51 5.150000 0.949436 327.833950
52 5.250000 1.117268 400.912700
53 5.350000 1.295444 482.725200
54 5.450000 1.366200 528.300600
55 5.550000 1.304759 523.227000
56 5.650000 1.180066 490.429900
57 5.750000 1.069838 460.497750
58 5.850000 0.996768 444.098800
59 5.950000 0.955351 440.322150
60 6.050000 0.936298 446.168150
61 6.150000 0.936920 461.345800
62 6.250000 0.941275 478.685500
63 6.350000 0.946345 496.787400
64 6.450000 0.960146 520.032350
65 6.550000 0.993385 554.848150
66 6.650000 1.036564 596.778600
67 6.750000 1.060603 629.120800
68 6.850000 1.066830 651.703850
69 6.950000 1.057893 665.250250
70 7.050000 1.043867 675.456050
71 7.150000 1.045966 696.150800
72 7.250000 1.055366 722.192550
73 7.350000 1.066762 750.267400
74 7.450000 1.098831 793.994150
75 7.550000 1.160582 861.278050
76 7.650000 1.214375 925.229200
77 7.750000 1.251838 978.870800
78 7.850000 1.287216 1032.677150
79 7.950000 1.286201 1058.319900
80 8.050000 1.219679 1028.989800
81 8.150000 1.118714 967.404350
82 8.250000 1.037347 919.190850
83 8.350000 0.998398 906.254650
84 8.450000 0.988635 919.016100
85 8.550000 1.003964 955.485750
86 8.650000 1.026458 999.878100
87 8.750000 1.029118 1025.781900
88 8.850000 1.000058 1019.730600
89 8.950000 0.966222 1007.620250
90 9.050000 0.959339 1022.923400
91 9.150000 0.980787 1069.031750
92 9.250000 1.017001 1132.866550
93 9.350000 1.036939 1180.185500
94 9.450000 1.032105 1199.944250
95 9.550000 1.015357 1205.589450
96 9.650000 1.010160 1224.668200
97 9.750000 1.016875 1258.492800
98 9.850000 1.032509 1304.186950
99 9.950000 1.055169 1360.009950
100 10.050000 1.080366 1420.616900
101 10.150000 1.079031 1447.237300
102 10.250000 1.065413 1457.268600
103 10.350000 1.067969 1489.405900
104 10.450000 1.074940 1528.236600
105 10.550000 1.069505 1549.749100
106 10.650000 1.052861 1554.690250
107 10.750000 1.039132 1563.368150
108 10.850000 1.034370 1585.292200
109 10.950000 1.038254 1620.710950
110 11.050000 1.049123 1667.725300
111 11.150000 1.047304 1695.103550
112 11.250000 1.027036 1692.249900
113 11.350000 0.997682 1673.236900
114 11.450000 0.976532 1666.753400
115 11.550000 0.969220 1683.294900
116 11.650000 0.954513 1686.581100
117 11.750000 0.948152 1704.226550
118 11.850000 0.953017 1742.252250
119 11.950000 0.957823 1780.716050
120 12.050000 0.950241 1796.311800
121 12.150000 0.932784 1792.698500
122 12.250000 0.912536 1782.771800
123 12.350000 0.904450 1795.942000
124 12.450000 0.911810 1839.996250
125 12.550000 0.930687 1908.379300
126 12.650000 0.948205 1975.408200
127 12.750000 0.952140 2015.092600
