# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.000223 0.016100
34 3.450000 0.010295 0.786600
35 3.550000 0.101989 8.250500
36 3.650000 0.434650 37.170200
37 3.750000 1.063934 96.038850
38 3.850000 1.783445 169.687850
39 3.950000 2.223730 222.713100
40 4.050000 2.232706 235.077550
41 4.150000 1.934515 213.864100
42 4.250000 1.585612 183.841850
43 4.350000 1.321518 160.517050
44 4.450000 1.152885 146.546500
45 4.550000 1.039690 138.164500
46 4.650000 0.965443 133.999200
47 4.750000 0.922631 133.624150
48 4.850000 0.911644 137.650650
49 4.950000 0.895215 140.801450
50 5.050000 0.889383 145.593200
51 5.150000 0.892306 151.914100
52 5.250000 0.912557 161.453700
53 5.350000 0.922978 169.577700
54 5.450000 0.901999 171.976300
55 5.550000 0.865504 171.129500
56 5.650000 0.820564 168.143050
57 5.750000 0.774945 164.466100
58 5.850000 0.738235 162.172000
59 5.950000 0.734962 167.020000
60 6.050000 0.767358 180.292700
61 6.150000 0.821762 199.510500
62 6.250000 0.901485 226.041400
63 6.350000 0.986324 255.291800
64 6.450000 1.062987 283.868400
65 6.550000 1.137685 313.310100
66 6.650000 1.213824 344.563100
67 6.750000 1.274879 372.860200
68 6.850000 1.333288 401.582400
69 6.950000 1.377618 427.137900
70 7.050000 1.377153 439.369550
71 7.150000 1.338596 439.269700
72 7.250000 1.279198 431.602100
73 7.350000 1.203201 417.236750
74 7.450000 1.135826 404.663400
75 7.550000 1.100916 402.826200
76 7.650000 1.096215 411.801850
77 7.750000 1.098843 423.651350
78 7.850000 1.096990 433.922050
79 7.950000 1.101211 446.760250
80 8.050000 1.110451 461.913450
81 8.150000 1.114612 475.235050
82 8.250000 1.084569 473.843050
83 8.350000 1.029551 460.776550
84 8.450000 0.983721 450.873550
85 8.550000 0.949358 445.483750
86 8.650000 0.920851 442.273900
87 8.750000 0.925288 454.739550
88 8.850000 0.962380 483.840850
89 8.950000 1.030595 529.911750
90 9.050000 1.095498 575.941450
91 9.150000 1.127981 606.196650
92 9.250000 1.119105 614.644350
93 9.350000 1.089407 611.340000
94 9.450000 1.056739 605.760600
95 9.550000 1.028482 602.106300
96 9.650000 1.012871 605.450050
97 9.750000 1.004730 613.095400
98 9.850000 1.014575 631.867750
99 9.950000 1.041460 661.848300
100 10.050000 1.078813 699.435600
101 10.150000 1.093731 723.289400
102 10.250000 1.084529 731.405900
103 10.350000 1.059552 728.572150
104 10.450000 1.023783 717.646000
105 10.550000 1.002256 716.065900
106 10.650000 1.007095 733.228250
107 10.750000 1.039779 771.307550
108 10.850000 1.074867 812.238900
109 10.950000 1.099566 846.289750
110 11.050000 1.107177 867.782950
111 11.150000 1.093814 872.896800
112 11.250000 1.057692 859.278400
113 11.350000 1.015161 839.452900
114 11.450000 0.998142 839.987950
115 11.550000 0.999048 855.499700
116 11.650000 0.995899 867.634700
117 11.750000 0.969790 859.455000
118 11.850000 0.949720 856.055350
119 11.950000 0.927974 850.630950
120 12.050000 0.891140 830.595300
121 12.150000 0.857166 812.245500
122 12.250000 0.843121 812.141800
123 12.350000 0.850628 832.804800
124 12.450000 0.874850 870.445750
125 12.550000 0.896732 906.608250
126 12.650000 0.900629 925.116350
127 12.750000 0.894911 933.834250
