# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000482 0.076150
29 2.950000 0.015973 2.702050
30 3.050000 0.124469 22.506650
31 3.150000 0.376165 72.552050
32 3.250000 0.675267 138.641000
33 3.350000 0.881622 192.318800
34 3.450000 0.937015 216.787500
35 3.550000 0.936258 229.351800
36 3.650000 0.989626 256.275050
37 3.750000 1.141788 312.102800
38 3.850000 1.331096 383.513350
39 3.950000 1.431133 434.034200
40 4.050000 1.408343 449.022550
41 4.150000 1.304641 436.753950
42 4.250000 1.181104 414.682400
43 4.350000 1.068286 392.930600
44 4.450000 0.970901 373.718650
45 4.550000 0.893009 359.358950
46 4.650000 0.845890 355.524300
47 4.750000 0.820672 359.920400
48 4.850000 0.820998 375.383400
49 4.950000 0.832668 396.581050
50 5.050000 0.863777 428.187400
51 5.150000 0.930570 479.748050
52 5.250000 1.049666 562.366400
53 5.350000 1.172444 652.302900
54 5.450000 1.212906 700.276900
55 5.550000 1.159703 694.356500
56 5.650000 1.061347 658.572950
57 5.750000 0.972455 624.963850
58 5.850000 0.911392 606.270800
59 5.950000 0.882571 607.342150
60 6.050000 0.880508 626.460850
61 6.150000 0.898891 660.856300
62 6.250000 0.928135 704.726900
63 6.350000 0.959547 752.079200
64 6.450000 0.994107 803.900750
65 6.550000 1.041038 868.158250
66 6.650000 1.095101 941.341700
67 6.750000 1.131364 1001.981000
68 6.850000 1.154823 1053.286250
69 6.950000 1.163477 1092.388150
70 7.050000 1.153929 1114.825600
71 7.150000 1.142602 1135.420500
72 7.250000 1.129283 1153.794650
73 7.350000 1.111819 1167.504150
74 7.450000 1.111048 1198.657550
75 7.550000 1.140878 1264.104250
76 7.650000 1.175355 1337.031050
77 7.750000 1.201314 1402.522150
78 7.850000 1.224397 1466.599200
79 7.950000 1.225112 1505.080150
80 8.050000 1.183608 1490.903250
81 8.150000 1.117359 1442.639400
82 8.250000 1.052941 1393.033900
83 8.350000 1.008685 1367.031200
84 8.450000 0.987012 1369.889650
85 8.550000 0.985931 1400.969500
86 8.650000 0.991583 1442.152000
87 8.750000 0.994830 1480.521450
88 8.850000 0.987615 1503.571450
89 8.950000 0.987480 1537.532000
90 9.050000 1.004303 1598.864850
91 9.150000 1.029395 1675.228400
92 9.250000 1.050719 1747.510900
93 9.350000 1.054266 1791.525500
94 9.450000 1.040240 1805.704850
95 9.550000 1.019692 1807.695750
96 9.650000 1.011055 1830.118250
97 9.750000 1.012864 1871.588200
98 9.850000 1.026586 1936.054700
99 9.950000 1.050642 2021.858250
100 10.050000 1.079853 2120.052500
101 10.150000 1.083885 2170.526700
102 10.250000 1.071726 2188.674500
103 10.350000 1.065189 2217.978050
104 10.450000 1.058046 2245.882600
105 10.550000 1.047297 2265.815000
106 10.650000 1.037747 2287.918500
107 10.750000 1.039345 2334.675700
108 10.850000 1.047744 2397.531100
109 10.950000 1.058501 2467.000700
110 11.050000 1.068294 2535.508250
111 11.150000 1.062663 2568.000350
112 11.250000 1.037160 2551.528300
113 11.350000 1.003454 2512.689800
114 11.450000 0.983669 2506.741350
115 11.550000 0.979070 2538.794600
116 11.650000 0.968180 2554.215800
117 11.750000 0.955297 2563.681550
118 11.850000 0.951928 2598.307600
119 11.950000 0.947966 2631.347000
120 12.050000 0.930724 2626.907100
121 12.150000 0.907812 2604.944000
122 12.250000 0.889613 2594.913600
123 12.350000 0.886676 2628.746800
124 12.450000 0.899605 2710.442000
125 12.550000 0.919474 2814.987550
126 12.650000 0.932493 2900.524550
127 12.750000 0.933241 2948.926850
