# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.001797 0.008800
31 3.150000 0.058675 0.306500
32 3.250000 0.551864 3.068700
33 3.350000 1.980430 11.700500
34 3.450000 3.889248 24.370200
35 3.550000 4.822220 31.993300
36 3.650000 4.758155 33.371800
37 3.750000 4.004040 29.642600
38 3.850000 3.047978 23.784200
39 3.950000 2.288547 18.797900
40 4.050000 1.654349 14.285400
41 4.150000 1.199592 10.876400
42 4.250000 0.937452 8.914200
43 4.350000 0.758213 7.553100
44 4.450000 0.610111 6.360400
45 4.550000 0.518535 5.651400
46 4.650000 0.439291 5.000500
47 4.750000 0.360533 4.282400
48 4.850000 0.311305 3.855000
49 4.950000 0.267581 3.451600
50 5.050000 0.238251 3.198700
51 5.150000 0.215911 3.014700
52 5.250000 0.215407 3.125600
53 5.350000 0.219461 3.306900
54 5.450000 0.251541 3.933300
55 5.550000 0.288069 4.671300
56 5.650000 0.354895 5.964200
57 5.750000 0.456908 7.952800
58 5.850000 0.605844 10.915100
59 5.950000 0.768979 14.331900
60 6.050000 0.925550 17.834700
61 6.150000 1.044543 20.798500
62 6.250000 1.095273 22.523600
63 6.350000 1.101406 23.380300
64 6.450000 1.064098 23.305400
65 6.550000 1.016695 22.963000
66 6.650000 0.993512 23.129800
67 6.750000 0.945432 22.677400
68 6.850000 0.888360 21.944500
69 6.950000 0.844757 21.481100
70 7.050000 0.826140 21.616600
71 7.150000 0.845399 22.752500
72 7.250000 0.886970 24.543700
73 7.350000 0.958557 27.261400
74 7.450000 0.992013 28.985800
75 7.550000 0.969894 29.105400
76 7.650000 0.932301 28.723300
77 7.750000 0.848741 26.837000
78 7.850000 0.770617 24.999600
79 7.950000 0.698651 23.246100
80 8.050000 0.633593 21.615100
81 8.150000 0.607502 21.243100
82 8.250000 0.593667 21.271900
83 8.350000 0.579086 21.255500
84 8.450000 0.582301 21.888500
85 8.550000 0.584919 22.510400
86 8.650000 0.590724 23.268700
87 8.750000 0.648908 26.155000
88 8.850000 0.746012 30.760100
89 8.950000 0.884944 37.317900
90 9.050000 1.003679 43.276000
91 9.150000 1.068831 47.109300
92 9.250000 1.052793 47.422200
93 9.350000 0.992007 45.655500
94 9.450000 0.909151 42.742000
95 9.550000 0.825701 39.644700
96 9.650000 0.768929 37.696100
97 9.750000 0.740211 37.044200
98 9.850000 0.737792 37.684400
99 9.950000 0.765640 39.904900
100 10.050000 0.814768 43.323300
101 10.150000 0.893558 48.463000
102 10.250000 0.988004 54.646400
103 10.350000 1.086601 61.278200
104 10.450000 1.157477 66.542700
105 10.550000 1.230420 72.096400
106 10.650000 1.247455 74.486800
107 10.750000 1.280096 77.878000
108 10.850000 1.318577 81.718500
109 10.950000 1.362635 86.012800
110 11.050000 1.389552 89.321200
111 11.150000 1.419882 92.930300
112 11.250000 1.439177 95.890300
113 11.350000 1.439713 97.638900
114 11.450000 1.454631 100.396600
115 11.550000 1.466099 102.963300
116 11.650000 1.442339 103.056300
117 11.750000 1.412534 102.666800
118 11.850000 1.392159 102.915500
119 11.950000 1.350003 101.490600
120 12.050000 1.313337 100.393500
121 12.150000 1.285449 99.899400
122 12.250000 1.234379 97.516000
123 12.350000 1.187292 95.333800
124 12.450000 1.139837 93.011500
125 12.550000 1.095912 90.869600
126 12.650000 1.048070 88.293100
127 12.750000 0.999288 85.519700
