# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000148 0.004100
30 3.050000 0.007824 0.231500
31 3.150000 0.075081 2.369650
32 3.250000 0.339541 11.407550
33 3.350000 0.892731 31.867150
34 3.450000 1.545913 58.527000
35 3.550000 2.027360 81.268200
36 3.650000 2.216314 93.918250
37 3.750000 2.142765 95.845150
38 3.850000 1.938549 91.396850
39 3.950000 1.771170 87.899700
40 4.050000 1.643080 85.723850
41 4.150000 1.492001 81.733150
42 4.250000 1.332910 76.579350
43 4.350000 1.137649 68.473050
44 4.450000 0.930757 58.625900
45 4.550000 0.770137 50.713550
46 4.650000 0.654946 45.044750
47 4.750000 0.588037 42.201200
48 4.850000 0.566287 42.369450
49 4.950000 0.612593 47.743650
50 5.050000 0.727061 58.977550
51 5.150000 0.866826 73.127300
52 5.250000 1.003049 87.937400
53 5.350000 1.165533 106.112200
54 5.450000 1.354717 127.989550
55 5.550000 1.480257 145.029450
56 5.650000 1.502690 152.580650
57 5.750000 1.451903 152.688500
58 5.850000 1.362181 148.279000
59 5.950000 1.264191 142.357250
60 6.050000 1.124219 130.886500
61 6.150000 0.951781 114.503900
62 6.250000 0.786246 97.690350
63 6.350000 0.666503 85.483550
64 6.450000 0.606532 80.261300
65 6.550000 0.615961 84.056050
66 6.650000 0.714839 100.550600
67 6.750000 0.871291 126.271100
68 6.850000 1.022662 152.632200
69 6.950000 1.115184 171.336150
70 7.050000 1.095887 173.251500
71 7.150000 1.014317 164.937350
72 7.250000 0.965560 161.431450
73 7.350000 1.010121 173.572550
74 7.450000 1.121873 198.056600
75 7.550000 1.254006 227.366550
76 7.650000 1.322248 246.132400
77 7.750000 1.322556 252.668150
78 7.850000 1.338009 262.259600
79 7.950000 1.364055 274.220050
80 8.050000 1.391494 286.817800
81 8.150000 1.387119 293.063700
82 8.250000 1.356646 293.702350
83 8.350000 1.286601 285.331550
84 8.450000 1.203310 273.290050
85 8.550000 1.118795 260.145250
86 8.650000 1.029054 244.908300
87 8.750000 0.941473 229.275100
88 8.850000 0.859464 214.115100
89 8.950000 0.801872 204.307300
90 9.050000 0.801151 208.710550
91 9.150000 0.833724 222.022800
92 9.250000 0.897816 244.345150
93 9.350000 0.981549 272.940750
94 9.450000 1.062277 301.741200
95 9.550000 1.092384 316.894700
96 9.650000 1.056739 313.007850
97 9.750000 0.963910 291.459800
98 9.850000 0.874348 269.829850
99 9.950000 0.835847 263.212050
100 10.050000 0.890288 286.019650
101 10.150000 0.988717 323.994050
102 10.250000 1.057014 353.233100
103 10.350000 1.054224 359.208400
104 10.450000 1.022728 355.243300
105 10.550000 1.010016 357.574050
106 10.650000 1.011157 364.796700
107 10.750000 1.012983 372.350650
108 10.850000 1.005368 376.458850
109 10.950000 0.987623 376.662500
110 11.050000 0.981858 381.334550
111 11.150000 0.981227 388.018150
112 11.250000 0.959997 386.462850
113 11.350000 0.907076 371.679400
114 11.450000 0.831292 346.655150
115 11.550000 0.780609 331.230600
116 11.650000 0.787030 339.762900
117 11.750000 0.858286 376.912550
118 11.850000 0.970546 433.496750
119 11.950000 1.053565 478.553200
120 12.050000 1.065390 492.057150
121 12.150000 1.031269 484.236300
122 12.250000 0.970926 463.437850
123 12.350000 0.921317 446.967800
124 12.450000 0.910390 448.847750
125 12.550000 0.935493 468.663450
126 12.650000 0.963676 490.506950
127 12.750000 0.963682 498.295750
