# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000000 0.000000
30 3.050000 0.000000 0.000000
31 3.150000 0.000000 0.000000
32 3.250000 0.000000 0.000000
33 3.350000 0.000000 0.000000
34 3.450000 0.000478 0.009050
35 3.550000 0.011313 0.226750
36 3.650000 0.132158 2.800150
37 3.750000 0.537395 12.018750
38 3.850000 1.332609 31.414300
39 3.950000 2.143364 53.185500
40 4.050000 2.599127 67.801700
41 4.150000 2.728754 74.741800
42 4.250000 2.614042 75.091950
43 4.350000 2.390418 71.937500
44 4.450000 2.121769 66.822250
45 4.550000 1.905766 62.747350
46 4.650000 1.697036 58.357950
47 4.750000 1.513139 54.296150
48 4.850000 1.337855 50.049000
49 4.950000 1.162470 45.299700
50 5.050000 0.989291 40.124500
51 5.150000 0.842054 35.518750
52 5.250000 0.764103 33.494500
53 5.350000 0.749358 34.111450
54 5.450000 0.758711 35.840350
55 5.550000 0.766184 37.533750
56 5.650000 0.740622 37.600750
57 5.750000 0.658353 34.617650
58 5.850000 0.583185 31.741050
59 5.950000 0.531969 29.951850
60 6.050000 0.565440 32.915500
61 6.150000 0.691636 41.603600
62 6.250000 0.835863 51.927600
63 6.350000 0.871762 55.904700
64 6.450000 0.780871 51.665600
65 6.550000 0.675901 46.117800
66 6.650000 0.716367 50.382750
67 6.750000 0.982956 71.227000
68 6.850000 1.354772 101.099800
69 6.950000 1.581167 121.464750
70 7.050000 1.635567 129.285450
71 7.150000 1.538991 125.127050
72 7.250000 1.398037 116.868550
73 7.350000 1.259772 108.235450
74 7.450000 1.170457 103.316800
75 7.550000 1.116746 101.239850
76 7.650000 1.109631 103.277250
77 7.750000 1.127268 107.679600
78 7.850000 1.179491 115.594450
79 7.950000 1.225314 123.164250
80 8.050000 1.266520 130.528950
81 8.150000 1.323318 139.792000
82 8.250000 1.381503 149.541900
83 8.350000 1.384577 153.529900
84 8.450000 1.318332 149.706700
85 8.550000 1.231124 143.132150
86 8.650000 1.148270 136.640400
87 8.750000 1.056936 128.696850
88 8.850000 0.979859 122.054300
89 8.950000 0.909355 115.846400
90 9.050000 0.848782 110.559550
91 9.150000 0.834766 111.150100
92 9.250000 0.837104 113.911000
93 9.350000 0.829800 115.371800
94 9.450000 0.817363 116.086450
95 9.550000 0.835870 121.240750
96 9.650000 0.906244 134.215600
97 9.750000 0.988716 149.480250
98 9.850000 1.020839 157.518850
99 9.950000 0.976803 153.799950
100 10.050000 0.920863 147.921100
101 10.150000 0.887417 145.399500
102 10.250000 0.882814 147.509550
103 10.350000 0.900380 153.394500
104 10.450000 0.926794 160.960400
105 10.550000 0.960236 169.975350
106 10.650000 0.985677 177.802050
107 10.750000 1.005512 184.802150
108 10.850000 1.017804 190.557700
109 10.950000 1.025265 195.509300
110 11.050000 1.031894 200.383900
111 11.150000 1.063193 210.215500
112 11.250000 1.107203 222.861600
113 11.350000 1.138788 233.312350
114 11.450000 1.113111 232.087800
115 11.550000 1.052754 223.354050
116 11.650000 0.997564 215.325600
117 11.750000 0.975626 214.221100
118 11.850000 0.977967 218.405600
119 11.950000 0.972259 220.811000
120 12.050000 0.951970 219.836700
121 12.150000 0.910777 213.829400
122 12.250000 0.870675 207.793100
123 12.350000 0.845374 205.062200
124 12.450000 0.842132 207.597400
125 12.550000 0.808087 202.417850
126 12.650000 0.747601 190.262900
127 12.750000 0.687412 177.721600
