# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.050000 0.000000 0.000000
1 0.150000 0.000000 0.000000
2 0.250000 0.000000 0.000000
3 0.350000 0.000000 0.000000
4 0.450000 0.000000 0.000000
5 0.550000 0.000000 0.000000
6 0.650000 0.000000 0.000000
7 0.750000 0.000000 0.000000
8 0.850000 0.000000 0.000000
9 0.950000 0.000000 0.000000
10 1.050000 0.000000 0.000000
11 1.150000 0.000000 0.000000
12 1.250000 0.000000 0.000000
13 1.350000 0.000000 0.000000
14 1.450000 0.000000 0.000000
15 1.550000 0.000000 0.000000
16 1.650000 0.000000 0.000000
17 1.750000 0.000000 0.000000
18 1.850000 0.000000 0.000000
19 1.950000 0.000000 0.000000
20 2.050000 0.000000 0.000000
21 2.150000 0.000000 0.000000
22 2.250000 0.000000 0.000000
23 2.350000 0.000000 0.000000
24 2.450000 0.000000 0.000000
25 2.550000 0.000000 0.000000
26 2.650000 0.000000 0.000000
27 2.750000 0.000000 0.000000
28 2.850000 0.000000 0.000000
29 2.950000 0.000099 0.004100
30 3.050000 0.005216 0.231500
31 3.150000 0.050054 2.369650
32 3.250000 0.226361 11.407550
33 3.350000 0.595154 31.867150
34 3.450000 1.030768 58.536050
35 3.550000 1.355345 81.494950
36 3.650000 1.521595 96.718400
37 3.750000 1.607642 107.863900
38 3.850000 1.736569 122.811150
39 3.950000 1.895235 141.085200
40 4.050000 1.961762 153.525550
41 4.150000 1.904252 156.474950
42 4.250000 1.759954 151.671300
43 4.350000 1.555238 140.410550
44 4.450000 1.327761 125.448150
45 4.550000 1.148680 113.460900
46 4.650000 1.002309 103.402700
47 4.750000 0.896404 96.497350
48 4.850000 0.823476 92.418450
49 4.950000 0.795886 93.043350
50 5.050000 0.814471 99.102050
51 5.150000 0.858569 108.646050
52 5.250000 0.923400 121.431900
53 5.350000 1.026808 140.223650
54 5.450000 1.156048 163.829900
55 5.550000 1.242233 182.563200
56 5.650000 1.248668 190.181400
57 5.750000 1.187386 187.306150
58 5.850000 1.102516 180.020050
59 5.950000 1.020117 172.309100
60 6.050000 0.937960 163.802000
61 6.150000 0.865066 156.107500
62 6.250000 0.802785 149.617950
63 6.350000 0.734923 141.388250
64 6.450000 0.664645 131.926900
65 6.550000 0.635941 130.173850
66 6.650000 0.715348 150.933350
67 6.750000 0.908513 197.498100
68 6.850000 1.133365 253.732000
69 6.950000 1.270511 292.800900
70 7.050000 1.275780 302.536950
71 7.150000 1.189209 290.064400
72 7.250000 1.109719 278.300000
73 7.350000 1.093338 281.808000
74 7.450000 1.138068 301.373400
75 7.550000 1.208253 328.606400
76 7.650000 1.251376 349.409650
77 7.750000 1.257460 360.347750
78 7.850000 1.285170 377.854050
79 7.950000 1.317808 397.384300
80 8.050000 1.349836 417.346750
81 8.150000 1.365852 432.855700
82 8.250000 1.364932 443.244250
83 8.350000 1.319259 438.861450
84 8.450000 1.241650 422.996750
85 8.550000 1.156238 403.277400
86 8.650000 1.068793 381.548700
87 8.750000 0.979961 357.971950
88 8.850000 0.899596 336.169400
89 8.950000 0.837699 320.153700
90 9.050000 0.817028 319.270100
91 9.150000 0.834071 333.172900
92 9.250000 0.877578 358.256150
93 9.350000 0.930966 388.312550
94 9.450000 0.980639 417.827650
95 9.550000 1.006879 438.135450
96 9.650000 1.006574 447.223450
97 9.750000 0.972179 440.940050
98 9.850000 0.923178 427.348700
99 9.950000 0.882832 417.012000
100 10.050000 0.900480 433.940750
101 10.150000 0.954950 469.393550
102 10.250000 0.998947 500.742650
103 10.350000 1.002943 512.602900
104 10.450000 0.990750 516.203700
105 10.550000 0.993422 527.549400
106 10.650000 1.002664 542.598750
107 10.750000 1.010493 557.152800
108 10.850000 1.009513 567.016550
109 10.950000 1.000170 572.171800
110 11.050000 0.998537 581.718450
111 11.150000 1.008549 598.233650
112 11.250000 1.009065 609.324450
113 11.350000 0.984314 604.991750
114 11.450000 0.925232 578.742950
115 11.550000 0.871324 554.584650
116 11.650000 0.857208 555.088500
117 11.750000 0.897399 591.133650
118 11.850000 0.973020 651.902350
119 11.950000 1.026463 699.364200
120 12.050000 1.027583 711.893850
121 12.150000 0.991105 698.065700
122 12.250000 0.937509 671.230950
123 12.350000 0.896003 652.030000
124 12.450000 0.887637 656.445150
125 12.550000 0.893025 671.081300
126 12.650000 0.891651 680.769850
127 12.750000 0.871592 676.017350
