 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9985316    
   3.625000      0.9953850    
   3.875000      0.9917139    
   4.125000      0.9880428    
   4.375000      0.9859451    
   4.625000      0.9827985    
   4.875000      0.9803860    
   5.125000      0.9781834    
   5.375000      0.9766101    
   5.625000      0.9740928    
   5.875000      0.9693728    
   6.125000      0.9644431    
   6.375000      0.9558423    
   6.625000      0.9485002    
   6.875000      0.9413678    
   7.125000      0.9333963    
   7.375000      0.9259493    
   7.625000      0.9182925    
   7.875000      0.9108455    
   8.125000      0.9032935    
   8.375000      0.8942732    
   8.625000      0.8869310    
   8.875000      0.8787498    
   9.125000      0.8723516    
   9.375000      0.8638557    
   9.625000      0.8561989    
   9.875000      0.8468639    
   10.12500      0.8387876    
   10.37500      0.8234739    
   10.62500      0.8107825    
   10.87500      0.7988253    
   11.12500      0.7863436    
   11.37500      0.7777429    
   11.62500      0.7686176    
   11.87500      0.7594924    
   12.12500      0.7519404    
   12.37500      0.7435494    
   12.62500      0.7367317    
   12.87500      0.7315922    
   13.12500      0.7252989    
   13.37500      0.7182715    
   13.62500      0.7101951    
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
