 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9985372    
   3.625000      0.9945669    
   3.875000      0.9907010    
   4.125000      0.9872531    
   4.375000      0.9844321    
   4.625000      0.9823424    
   4.875000      0.9797304    
   5.125000      0.9765959    
   5.375000      0.9742973    
   5.625000      0.9725211    
   5.875000      0.9685508    
   6.125000      0.9615505    
   6.375000      0.9553860    
   6.625000      0.9491171    
   6.875000      0.9410719    
   7.125000      0.9316685    
   7.375000      0.9231010    
   7.625000      0.9155782    
   7.875000      0.9085780    
   8.125000      0.9010552    
   8.375000      0.8929056    
   8.625000      0.8853829    
   8.875000      0.8766064    
   9.125000      0.8686657    
   9.375000      0.8616654    
   9.625000      0.8528889    
   9.875000      0.8447393    
   10.12500      0.8352314    
   10.37500      0.8244697    
   10.62500      0.8114094    
   10.87500      0.8004388    
   11.12500      0.7897816    
   11.37500      0.7823634    
   11.62500      0.7720196    
   11.87500      0.7643924    
   12.12500      0.7579145    
   12.37500      0.7492425    
   12.62500      0.7420332    
   12.87500      0.7339880    
   13.12500      0.7268832    
   13.37500      0.7209278    
   13.62500      0.7133006    
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
