 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9955813    
   3.625000      0.9820729    
   3.875000      0.9713420    
   4.125000      0.9561924    
   4.375000      0.9486176    
   4.625000      0.9407903    
   4.875000      0.8983714    
   5.125000      0.8934478    
   5.375000      0.8875142    
   5.625000      0.8822118    
   5.875000      0.8765307    
   6.125000      0.8718596    
   6.375000      0.8655472    
   6.625000      0.8596137    
   6.875000      0.8520389    
   7.125000      0.8425704    
   7.375000      0.7276859    
   7.625000      0.7168286    
   7.875000      0.7055927    
   8.125000      0.6980179    
   8.375000      0.6899381    
   8.625000      0.6828683    
   8.875000      0.6754197    
   9.125000      0.6673400    
   9.375000      0.6587552    
   9.625000      0.6523166    
   9.875000      0.6476455    
   10.12500      0.6414594    
   10.37500      0.6298447    
   10.62500      0.5968943    
   10.87500      0.5703825    
   11.12500      0.5445020    
   11.37500      0.5109203    
   11.62500      0.4570130    
   11.87500      0.2149981    
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
