 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9984530    
   3.625000      0.9891706    
   3.875000      0.9821492    
   4.125000      0.9741759    
   4.375000      0.9687017    
   4.625000      0.9604903    
   4.875000      0.9535880    
   5.125000      0.9459717    
   5.375000      0.9221706    
   5.625000      0.9106272    
   5.875000      0.9008688    
   6.125000      0.8943235    
   6.375000      0.8889682    
   6.625000      0.8818280    
   6.875000      0.8750446    
   7.125000      0.8688564    
   7.375000      0.8625491    
   7.625000      0.8557658    
   7.875000      0.8498155    
   8.125000      0.8412472    
   8.375000      0.8323218    
   8.625000      0.8233964    
   8.875000      0.8132810    
   9.125000      0.8054267    
   9.375000      0.7954302    
   9.625000      0.7825776    
   9.875000      0.4782816    
   10.12500      0.4711413    
   10.37500      0.4606688    
   10.62500      0.4547186    
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
