 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9978724    
   3.625000      0.9906619    
   3.875000      0.9832151    
   4.125000      0.9755319    
   4.375000      0.9678487    
   4.625000      0.9612293    
   4.875000      0.9540189    
   5.125000      0.9482269    
   5.375000      0.9267139    
   5.625000      0.9164302    
   5.875000      0.9094563    
   6.125000      0.9021276    
   6.375000      0.8956265    
   6.625000      0.8910165    
   6.875000      0.8860520    
   7.125000      0.8799054    
   7.375000      0.8732861    
   7.625000      0.8684397    
   7.875000      0.8628842    
   8.125000      0.8565012    
   8.375000      0.8484634    
   8.625000      0.8400709    
   8.875000      0.8332151    
   9.125000      0.8258865    
   9.375000      0.8161938    
   9.625000      0.8050827    
   9.875000      0.7932624    
   10.12500      0.7799054    
   10.37500      0.7595745    
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
